requirement_id,user_id,application_domain,tags,novelty,usefulness,clarity
115,28,Health,"food, kitchen, fruits, vegetables",5,5,5
115,28,Health,"food, kitchen, fruits, vegetables",4,4,4
121,24,Energy,"temeprature, ",3,5,4
121,24,Energy,"temeprature, ",3,4,4
122,34,Energy,"thermostat, heating, temperature",1,5,5
122,34,Energy,"thermostat, heating, temperature",1,4,2
122,34,Energy,"thermostat, heating, temperature",3,5,5
123,26,Safety,,3,5,5
123,26,Safety,,1,5,5
123,26,Safety,,2,4,4
123,26,Safety,,5,5,5
124,34,Safety,"garage, door",2,5,5
124,34,Safety,"garage, door",1,5,5
124,34,Safety,"garage, door",1,3,3
124,34,Safety,"garage, door",1,3,5
125,25,Entertainment,i will need always fresh and comfortable,2,4,1
125,25,Entertainment,i will need always fresh and comfortable,3,5,2
126,28,Health,"room, lighting, effect",5,5,5
126,28,Health,"room, lighting, effect",4,1,4
126,28,Health,"room, lighting, effect",4,3,5
127,34,Safety,"door, locks",3,3,4
127,34,Safety,"door, locks",4,4,4
128,28,Safety,"gate, photo, robot",4,4,4
128,28,Safety,"gate, photo, robot",3,4,2
128,28,Safety,"gate, photo, robot",3,4,5
129,27,Safety,"Automobile Security, Auto Anti-Theft, Vehicle Protection.",5,5,4
129,27,Safety,"Automobile Security, Auto Anti-Theft, Vehicle Protection.",4,3,4
129,27,Safety,"Automobile Security, Auto Anti-Theft, Vehicle Protection.",4,4,4
130,28,Safety,"door, unlock, alarm",3,4,3
130,28,Safety,"door, unlock, alarm",5,5,5
132,28,Entertainment,"greeting, guests",3,4,4
132,28,Entertainment,"greeting, guests",4,4,4
134,34,Safety,"home security, motion detectors",2,5,5
134,34,Safety,"home security, motion detectors",1,5,5
136,24,Safety,lock / re-lock automatically ,3,5,2
136,24,Safety,lock / re-lock automatically ,2,2,2
137,34,Health,smart appliances,3,3,3
137,34,Health,smart appliances,2,5,4
137,34,Health,smart appliances,5,5,5
138,38,Entertainment,"television, entertainment",4,3,5
138,38,Entertainment,"television, entertainment",1,1,4
138,38,Entertainment,"television, entertainment",3,2,3
139,34,Energy,"windows, sensor",3,4,4
139,34,Energy,"windows, sensor",2,2,5
139,34,Energy,"windows, sensor",4,3,5
142,34,Entertainment,"electronics, devices",3,5,5
142,34,Entertainment,"electronics, devices",3,4,4
142,34,Entertainment,"electronics, devices",5,5,5
143,24,Health,"clean, house, automatically ",4,3,4
143,24,Health,"clean, house, automatically ",4,2,4
143,24,Health,"clean, house, automatically ",3,4,5
144,38,Safety,"fire, safety",3,4,4
146,38,Energy,"Air conditioning, energy",4,5,5
146,38,Energy,"Air conditioning, energy",4,4,3
146,38,Energy,"Air conditioning, energy",1,2,4
147,34,Energy,lighting,3,5,5
147,34,Energy,lighting,3,4,4
147,34,Energy,lighting,2,5,4
147,34,Energy,lighting,3,5,5
148,25,Energy,,5,4,4
148,25,Energy,,4,1,1
148,25,Energy,,1,1,1
149,38,Entertainment,"lullaby, entertainment",4,3,5
149,38,Entertainment,"lullaby, entertainment",4,4,5
149,38,Entertainment,"lullaby, entertainment",5,4,3
150,25,Energy,,1,2,1
150,25,Energy,,2,2,2
150,25,Energy,,1,1,1
151,38,Energy,"sports, TV, entertainment",4,5,4
151,38,Energy,"sports, TV, entertainment",3,3,5
151,38,Energy,"sports, TV, entertainment",3,4,5
153,30,Safety,"caution, safe,",4,4,4
153,30,Safety,"caution, safe,",1,2,2
153,30,Safety,"caution, safe,",4,5,4
154,14,Safety,"screening, communication",4,4,5
154,14,Safety,"screening, communication",4,3,3
154,14,Safety,"screening, communication",1,1,5
154,14,Safety,"screening, communication",5,5,4
155,14,Safety,"safety, security",2,5,3
155,14,Safety,"safety, security",4,4,5
155,14,Safety,"safety, security",3,4,5
156,38,Health,"medication, health",2,5,5
156,38,Health,"medication, health",3,3,2
156,38,Health,"medication, health",5,5,5
157,24,Health,,3,4,4
157,24,Health,,2,5,4
157,24,Health,,2,4,4
160,38,Safety,"sprinklers, safety",2,4,5
160,38,Safety,"sprinklers, safety",2,4,3
160,38,Safety,"sprinklers, safety",2,1,3
161,26,Entertainment,,4,5,5
161,26,Entertainment,,1,3,4
161,26,Entertainment,,1,3,5
162,14,Entertainment,exercise,3,4,4
162,14,Entertainment,exercise,3,3,4
163,38,Entertainment,"music, entertainment",1,3,5
163,38,Entertainment,"music, entertainment",5,2,3
165,14,Energy,"energy, green",4,3,4
165,14,Energy,"energy, green",3,4,5
166,38,Safety,"break in, safety",1,5,5
166,38,Safety,"break in, safety",3,4,5
166,38,Safety,"break in, safety",3,4,5
167,26,Energy,,2,3,2
167,26,Energy,,5,5,5
167,26,Energy,,3,5,5
168,38,Safety,"children, safety",3,5,5
168,38,Safety,"children, safety",4,5,5
168,38,Safety,"children, safety",4,4,4
168,38,Safety,"children, safety",2,3,3
169,14,Safety,"storms, safety",3,4,4
169,14,Safety,"storms, safety",5,4,5
169,14,Safety,"storms, safety",5,4,1
171,26,Safety,,5,4,4
171,26,Safety,,3,4,5
173,14,Entertainment,"music, videos, media, convenience",5,4,5
173,14,Entertainment,"music, videos, media, convenience",3,2,3
174,24,Health,"air, quality, ",1,5,5
174,24,Health,"air, quality, ",5,5,5
174,24,Health,"air, quality, ",3,3,3
175,24,Safety,,3,3,4
175,24,Safety,,3,5,5
175,24,Safety,,3,5,2
176,27,Safety,"Home Security, Home Safety, Intruder Detection",5,4,4
176,27,Safety,"Home Security, Home Safety, Intruder Detection",2,4,4
176,27,Safety,"Home Security, Home Safety, Intruder Detection",3,4,4
177,24,Safety,,2,5,2
177,24,Safety,,5,3,4
177,24,Safety,,3,5,5
178,39,Energy,"Controller, Electric gadgets, Automatic",3,5,5
178,39,Energy,"Controller, Electric gadgets, Automatic",4,4,4
178,39,Energy,"Controller, Electric gadgets, Automatic",4,4,4
180,24,Safety,,5,3,3
180,24,Safety,,3,4,4
180,24,Safety,,3,3,4
181,39,Safety,"video recording, security",3,5,4
181,39,Safety,"video recording, security",4,4,4
183,37,Energy,"energy,smart switch",3,3,3
183,37,Energy,"energy,smart switch",5,5,5
183,37,Energy,"energy,smart switch",2,5,5
184,39,Health,"sense, living things",5,4,3
184,39,Health,"sense, living things",4,4,5
185,40,Safety,,4,4,4
185,40,Safety,,5,4,4
186,27,Safety,"Parcel Package Protection, Home Delivery Detection",5,4,5
186,27,Safety,"Parcel Package Protection, Home Delivery Detection",5,5,5
187,40,Safety,,2,5,4
187,40,Safety,,2,4,1
187,40,Safety,,1,5,4
188,39,Safety,"face matching, doors",3,4,5
190,40,Safety,,1,5,5
190,40,Safety,,1,5,5
190,40,Safety,,4,4,4
190,40,Safety,,1,5,4
191,41,Safety,,3,5,5
191,41,Safety,,4,4,5
191,41,Safety,,4,4,4
192,40,Safety,,2,4,4
192,40,Safety,,4,4,5
192,40,Safety,,3,5,4
193,37,Energy,"energy saving, automated light, light sensor",1,5,5
193,37,Energy,"energy saving, automated light, light sensor",2,2,4
193,37,Energy,"energy saving, automated light, light sensor",5,5,5
193,37,Energy,"energy saving, automated light, light sensor",4,4,3
193,37,Energy,"energy saving, automated light, light sensor",4,5,5
194,40,Energy,,2,4,2
194,40,Energy,,1,5,4
194,40,Energy,,5,5,5
194,40,Energy,,4,4,5
196,40,Safety,,3,4,4
196,40,Safety,,4,4,4
196,40,Safety,,2,3,3
197,40,Health,,4,4,3
197,40,Health,,5,2,5
197,40,Health,,5,5,5
198,30,Safety,"precaution, safe ,welfare, well-being, protection ,security",2,4,2
198,30,Safety,"precaution, safe ,welfare, well-being, protection ,security",3,2,2
199,40,Safety,,3,5,5
199,40,Safety,,4,5,5
199,40,Safety,,4,5,4
201,27,Safety,"Visitor Detection, Remote Visitor Communicaton",4,4,4
201,27,Safety,"Visitor Detection, Remote Visitor Communicaton",5,5,5
201,27,Safety,"Visitor Detection, Remote Visitor Communicaton",2,3,5
202,37,Safety,"smart camera, theft control",3,4,5
205,41,Energy,"Electric bulbs, ",2,3,5
205,41,Energy,"Electric bulbs, ",3,4,4
205,41,Energy,"Electric bulbs, ",4,5,5
206,42,Safety,security,3,3,4
206,42,Safety,security,3,4,4
206,42,Safety,security,1,5,5
206,42,Safety,security,4,3,3
208,42,Safety,Gas Leakage,5,4,4
208,42,Safety,Gas Leakage,5,4,4
209,42,Energy,Energy saving,2,3,3
209,42,Energy,Energy saving,4,2,3
209,42,Energy,Energy saving,5,5,5
209,42,Energy,Energy saving,5,5,5
209,42,Energy,Energy saving,4,5,4
210,41,Entertainment,"TV, Radio, Electronic gadgets",2,5,5
210,41,Entertainment,"TV, Radio, Electronic gadgets",3,4,4
210,41,Entertainment,"TV, Radio, Electronic gadgets",1,4,5
211,42,Safety,security,5,5,2
211,42,Safety,security,3,5,5
211,42,Safety,security,5,5,5
213,42,Safety,security,4,4,3
213,42,Safety,security,1,5,5
213,42,Safety,security,3,3,3
214,42,Safety,security,2,4,4
214,42,Safety,security,3,4,5
214,42,Safety,security,3,5,5
215,42,Energy,Energy saving,4,4,4
215,42,Energy,Energy saving,5,5,5
215,42,Energy,Energy saving,4,4,4
216,42,Energy,Energy saving,2,2,3
216,42,Energy,Energy saving,2,4,4
216,42,Energy,Energy saving,2,3,2
217,42,Energy,Energy saving,1,5,5
218,39,Entertainment,"radio, automatic",3,5,5
218,39,Entertainment,"radio, automatic",1,2,5
219,27,Safety,"Automatic Garage Door Open/Closure, Automated Garage Access Control",5,5,5
219,27,Safety,"Automatic Garage Door Open/Closure, Automated Garage Access Control",2,5,5
219,27,Safety,"Automatic Garage Door Open/Closure, Automated Garage Access Control",5,5,5
220,42,Entertainment,relaxation,3,2,2
220,42,Entertainment,relaxation,5,2,5
220,42,Entertainment,relaxation,4,4,4
221,41,Health,"Time, Food",4,3,3
221,41,Health,"Time, Food",4,5,5
221,41,Health,"Time, Food",5,1,2
222,43,Safety,"safe, alarm, female",4,4,4
222,43,Safety,"safe, alarm, female",3,5,5
222,43,Safety,"safe, alarm, female",1,4,4
223,30,Safety,"precaution, safe ,welfare, well-being, protection ,security",4,5,5
223,30,Safety,"precaution, safe ,welfare, well-being, protection ,security",4,4,2
223,30,Safety,"precaution, safe ,welfare, well-being, protection ,security",3,5,5
224,43,Safety,"woman, safe, motion sensor, lights",3,5,5
224,43,Safety,"woman, safe, motion sensor, lights",1,5,5
224,43,Safety,"woman, safe, motion sensor, lights",3,4,3
226,39,Energy,"energy saver, fans",3,4,4
228,41,Energy,"Washing Machine, Electricity",1,4,4
228,41,Energy,"Washing Machine, Electricity",2,2,4
228,41,Energy,"Washing Machine, Electricity",4,4,4
229,43,Safety,"carbon monoxide, parent, alarm",5,5,5
229,43,Safety,"carbon monoxide, parent, alarm",5,4,5
229,43,Safety,"carbon monoxide, parent, alarm",1,5,5
230,43,Energy,"lights, money",3,4,4
230,43,Energy,"lights, money",5,5,5
230,43,Energy,"lights, money",3,5,5
231,41,Safety,"Wiring, Sockets",3,4,4
231,41,Safety,"Wiring, Sockets",4,4,4
231,41,Safety,"Wiring, Sockets",3,4,4
232,43,Energy,"thermostat, energy costs",4,5,5
233,30,Health,"good physical condition, healthiness, fitness, physical fitness, well-being, haleness",4,3,4
233,30,Health,"good physical condition, healthiness, fitness, physical fitness, well-being, haleness",5,3,4
233,30,Health,"good physical condition, healthiness, fitness, physical fitness, well-being, haleness",4,4,4
234,43,Energy,"oven, timer",3,5,5
234,43,Energy,"oven, timer",1,5,5
235,39,Energy,"solar cells, panels, photo cells",5,5,5
235,39,Energy,"solar cells, panels, photo cells",3,5,5
235,39,Energy,"solar cells, panels, photo cells",5,5,4
236,37,Energy,"smart A/C, save energy",2,5,5
236,37,Energy,"smart A/C, save energy",4,5,4
236,37,Energy,"smart A/C, save energy",2,4,4
237,43,Safety,"phone lines, wireless",2,4,5
237,43,Safety,"phone lines, wireless",4,5,5
237,43,Safety,"phone lines, wireless",1,5,5
238,43,Safety,"cameras, wireless, real time",4,4,5
238,43,Safety,"cameras, wireless, real time",3,4,4
238,43,Safety,"cameras, wireless, real time",5,3,4
239,41,Safety,Water pipes,5,5,5
239,41,Safety,Water pipes,4,3,5
240,41,Safety,Water alert,4,4,4
240,41,Safety,Water alert,4,4,4
240,41,Safety,Water alert,3,4,4
240,41,Safety,Water alert,3,5,4
242,41,Entertainment,"A/C, ",5,5,5
242,41,Entertainment,"A/C, ",2,2,5
242,41,Entertainment,"A/C, ",3,4,3
243,30,Entertainment,"musement, pleasure, leisure, relaxation, fun, enjoyment, interest",2,5,4
243,30,Entertainment,"musement, pleasure, leisure, relaxation, fun, enjoyment, interest",5,5,5
243,30,Entertainment,"musement, pleasure, leisure, relaxation, fun, enjoyment, interest",4,3,4
243,30,Entertainment,"musement, pleasure, leisure, relaxation, fun, enjoyment, interest",4,3,4
243,30,Entertainment,"musement, pleasure, leisure, relaxation, fun, enjoyment, interest",4,4,5
243,30,Entertainment,"musement, pleasure, leisure, relaxation, fun, enjoyment, interest",5,3,4
244,27,Safety,"ISP Bandwidth Monitoring, ISP Bandwidth Detection",4,4,4
244,27,Safety,"ISP Bandwidth Monitoring, ISP Bandwidth Detection",2,3,5
244,27,Safety,"ISP Bandwidth Monitoring, ISP Bandwidth Detection",3,5,5
245,37,Energy,"smart thermostat, save energy",3,3,5
245,37,Energy,"smart thermostat, save energy",3,3,2
246,41,Safety,"Lock, doors",4,5,1
246,41,Safety,"Lock, doors",2,5,5
246,41,Safety,"Lock, doors",4,4,5
247,27,Safety,"Smart Home Diagnostics, Smart Home Diagnostic Control",4,4,4
247,27,Safety,"Smart Home Diagnostics, Smart Home Diagnostic Control",3,3,4
247,27,Safety,"Smart Home Diagnostics, Smart Home Diagnostic Control",5,5,5
248,37,Safety,"smart lock, home safety, smart home",4,2,4
248,37,Safety,"smart lock, home safety, smart home",3,5,4
255,27,Safety,"Automated Shade & Lighting Controls, Automated Privacy & Lighting Control",4,4,4
255,27,Safety,"Automated Shade & Lighting Controls, Automated Privacy & Lighting Control",3,4,4
256,46,Energy,"lights, electricity, energy, auto lights on, auto lights off, light sensor",5,5,5
256,46,Energy,"lights, electricity, energy, auto lights on, auto lights off, light sensor",2,4,3
256,46,Energy,"lights, electricity, energy, auto lights on, auto lights off, light sensor",3,3,2
258,46,Health,"temprature controll, body temprature management,home with  health ",4,3,4
258,46,Health,"temprature controll, body temprature management,home with  health ",4,4,3
259,46,Safety,"safe home, red alert, bulb alarm, silent alarm",5,5,5
259,46,Safety,"safe home, red alert, bulb alarm, silent alarm",5,5,5
259,46,Safety,"safe home, red alert, bulb alarm, silent alarm",3,3,1
260,46,Entertainment,"musical home, smart music play",5,2,4
260,46,Entertainment,"musical home, smart music play",2,3,3
261,46,Entertainment,"alarm clock, time management",3,4,4
261,46,Entertainment,"alarm clock, time management",4,4,3
261,46,Entertainment,"alarm clock, time management",2,3,2
261,46,Entertainment,"alarm clock, time management",3,3,4
261,46,Entertainment,"alarm clock, time management",3,4,3
261,46,Entertainment,"alarm clock, time management",2,4,1
262,37,Safety,"smart alarm, tremor",4,5,3
262,37,Safety,"smart alarm, tremor",5,4,2
264,46,Health,auto cleaner,5,4,2
264,46,Health,auto cleaner,5,5,3
264,46,Health,auto cleaner,4,4,4
264,46,Health,auto cleaner,1,4,4
265,46,Entertainment,"galaxy view, nature touch",5,2,5
265,46,Entertainment,"galaxy view, nature touch",5,2,2
265,46,Entertainment,"galaxy view, nature touch",5,3,4
265,46,Entertainment,"galaxy view, nature touch",3,2,4
266,27,Energy,"Smart Home Power Diagnostics, Smart Home Power Management",4,5,5
266,27,Energy,"Smart Home Power Diagnostics, Smart Home Power Management",3,5,5
266,27,Energy,"Smart Home Power Diagnostics, Smart Home Power Management",3,5,5
268,46,Entertainment,"fragrence , mood changer",5,3,5
268,46,Entertainment,"fragrence , mood changer",3,3,4
268,46,Entertainment,"fragrence , mood changer",4,2,4
268,46,Entertainment,"fragrence , mood changer",5,1,4
269,49,Health,"air, heater, weather, hot, cold, warm",1,2,4
269,49,Health,"air, heater, weather, hot, cold, warm",1,3,4
269,49,Health,"air, heater, weather, hot, cold, warm",3,3,3
271,49,Safety,"alarm, watch, suspicious, alert",3,5,4
272,49,Energy,"lights, saver, room",3,5,5
272,49,Energy,"lights, saver, room",2,3,4
272,49,Energy,"lights, saver, room",1,5,5
273,49,Safety,"grocery, food, safety, organizer, grocery list",4,4,4
273,49,Safety,"grocery, food, safety, organizer, grocery list",5,5,5
273,49,Safety,"grocery, food, safety, organizer, grocery list",5,5,5
274,51,Safety,"rodent, alarm, intrusion",5,5,5
274,51,Safety,"rodent, alarm, intrusion",3,3,3
274,51,Safety,"rodent, alarm, intrusion",1,5,5
275,51,Entertainment,"television shows, favorite, turn on ",3,4,5
275,51,Entertainment,"television shows, favorite, turn on ",4,4,5
275,51,Entertainment,"television shows, favorite, turn on ",5,4,5
276,49,Entertainment,"news, important, information, TV",1,2,2
276,49,Entertainment,"news, important, information, TV",2,3,2
276,49,Entertainment,"news, important, information, TV",4,3,5
277,51,Safety,"water flooding, damage, rains",5,5,5
277,51,Safety,"water flooding, damage, rains",4,4,4
277,51,Safety,"water flooding, damage, rains",5,5,4
278,49,Health,"bath, clean, temperature",5,3,4
278,49,Health,"bath, clean, temperature",4,3,4
278,49,Health,"bath, clean, temperature",3,4,3
279,51,Health,"dog poop, hygiene, cleaning",4,4,5
279,51,Health,"dog poop, hygiene, cleaning",5,5,5
279,51,Health,"dog poop, hygiene, cleaning",3,3,4
280,49,Health,"coffee, breakfast, morning, drink, waking up",4,4,5
280,49,Health,"coffee, breakfast, morning, drink, waking up",3,2,2
280,49,Health,"coffee, breakfast, morning, drink, waking up",3,4,4
281,51,Safety,"spycam, monitoring, surveillance",3,3,3
281,51,Safety,"spycam, monitoring, surveillance",1,1,2
281,51,Safety,"spycam, monitoring, surveillance",4,2,5
282,49,Health,"sleep, alert, remind",2,5,2
282,49,Health,"sleep, alert, remind",2,5,5
283,51,Energy,"lights, switch off, energy savings",5,5,5
283,51,Energy,"lights, switch off, energy savings",3,3,3
284,51,Safety,"cooking gas, leak, safety",2,5,5
284,51,Safety,"cooking gas, leak, safety",2,5,4
284,51,Safety,"cooking gas, leak, safety",4,3,4
285,49,Energy,"wash, dishes, clean, energy saver",2,2,4
285,49,Energy,"wash, dishes, clean, energy saver",4,2,5
286,51,Health,"milk, volume, low",4,2,5
286,51,Health,"milk, volume, low",3,5,5
286,51,Health,"milk, volume, low",5,3,5
287,49,Safety,"lights, safety, energy, dimming",1,3,4
287,49,Safety,"lights, safety, energy, dimming",2,3,3
287,49,Safety,"lights, safety, energy, dimming",3,3,5
288,51,Entertainment,"music, songs, relaxation",1,2,3
288,51,Entertainment,"music, songs, relaxation",5,4,4
288,51,Entertainment,"music, songs, relaxation",2,3,4
289,51,Safety,"weather, updates, met",5,5,5
289,51,Safety,"weather, updates, met",5,5,5
289,51,Safety,"weather, updates, met",1,4,5
290,49,Health,"emergency, health, monitor, safety, 911",5,5,5
290,49,Health,"emergency, health, monitor, safety, 911",2,4,3
290,49,Health,"emergency, health, monitor, safety, 911",3,5,4
290,49,Health,"emergency, health, monitor, safety, 911",1,4,4
291,49,Health,"eat, dinner, oven, food",4,4,4
291,49,Health,"eat, dinner, oven, food",3,3,4
292,53,Safety,safety child locks doors,4,4,5
292,53,Safety,safety child locks doors,3,4,5
293,53,Entertainment,,4,4,4
293,53,Entertainment,,1,3,5
293,53,Entertainment,,1,5,5
294,53,Safety,,1,4,5
294,53,Safety,,3,4,4
294,53,Safety,,1,2,1
295,53,Safety,,1,1,1
295,53,Safety,,3,5,5
295,53,Safety,,3,5,5
296,53,Energy,,3,5,5
296,53,Energy,,1,5,4
296,53,Energy,,1,4,4
297,53,Energy,,1,5,4
297,53,Energy,,4,3,4
298,53,Safety,,1,2,2
