id,sentence,domain
100,"It's dark outside the house; the lights that are closer to the windows are preconfigured to turn on if there is a movement outside those particular windows and go off in 15 minutes from the moment the movement stops., Somebody approaches the house., The lights that are closer to the windows that are closer to the approaching person should automatically turn on. They should go off in 15 minutes from the moment the movement outside the house stops.",safety
101,"It's dark outside the house. The lights that are closer to the windows are preconfigured to turn on if there is a movement outside those particular windows and go off in 15 minutes from the moment the movement stops. They are already on. The smart home is preconfigured to send a photo from the security camera to the home owner's smartphone if the movement outside the house gets stronger, despite the lights on, and to now keep the lights on for 30 minutes from the moment the movement stops., Somebody keeps approaching the house, even though the security lights on"" mode is on (the lights that are by the windows near the place the movement has occured are on)., The smart home should send a photo from the security camera to the home owner's smartphone. The lights that are already on should stay on and go off in 30 minutes from the moment the movement stops.",safety
102,"It's evening; the lights are preconfigured to get bright if there is a movement on the bookshelves of the bookcase in the evening OR if I choose Reading"" mode manually on the lights' control device., I get the book from the bookcase., ,The lights should get bright enough for me to read the book comfortably.",health
103,"I tend to have trouble falling asleep. I know that bright lights in the evening disrupt circadian rhythms and thus can cause insomnia. The lights in my home are preconfigured to get less bright and less blue gradually, starting from the sunset time, the way f.lux app (justgetflux.com) does it to the screens.
,  It's sunset time in the country of my location. I'm in my house., The lights should get less bright and less blue, and get even more so as the time goes further from the sunset time. 
",health
104,"It's nighttime. People in the room don't want the lights react to the appearance or absence of the movement in the room. The lights are preconfigured to go dim when Romance mode is chosen and stay in this mode until another mode is chosen manually on the lights' control device. Romance mode can be be chosen for the upcoming evening or date range of evenings in advance., People in the room are going to have sex and choose Romance mode of the lights (on the control panel or by tapping a particular part of the wall or select it in advance for this particular evening or date range of evenings)., The lights should go dim until another mode is chosen manually on the lights' control device.",entertainment
105,"my house sense no movement in the room and no noise, I leave my house to go out with friends for the evening., the lights should automatically fade off in the room.",safety
106,"they step inside the room with both of their hands filled with groceries, it is night time and my roommate has just come home after a long day at work., the house automatically turns on the lights when they walk inside the room.",health
107,"there is a person outside of my house who is not the same shape or size as me, I am away from my house on vacation.there is movement outside of my house , the home should automatically turn on some of the lights to scare off potential intruders and to show someone is home.",safety
108,"the amount of electronics that I have going in the background should be sensed by the house and should be able to figure out the amount of brightness the tv and computer screen causes., i turn on my television as I get inside my house. I then turn on my computer and put on some music in the background ., The home should adjust the brightness up to fit the amount of screen electronics that I have on.",entertainment
109,"my friend comes inside my room to watch some television.His body size and shape is not authorized as mine is.His vocal sound is also not registered like mine is., I leave my room for a few hours to go downstairs and watch a movie., the lights in the room should not fade off.",entertainment
110,"I get to the driveway of my house and stand there for a bit talking on the phone.my body shape and size,and along with vocal patterns are authorized, I come home early from a business trip,it is dark outside, The house should not turn on any lights.",safety
111,"as long as i am in the room with them the house will recognize my body and vocal patterns., me and my friends which are three people came into my bedroom to play video games., the room will fix the lighting in the room depending on how many people are in the room.",entertainment
112,"I'm planning to do painting/drawing/design/video editing work and need perfect lighting to see the colors I use accurately. If Design time"" mode is chosen,  the lights are preconfigured to ignore the evening time and movements in specifics areas of the room that are configured to be triggers for other modes of lighting. Only manual change of the mode is available."", I choose Design time"" mode on the control panel or by tapping on the wall by my desk or via a voice command.""",entertainment
113,"There's no movement in the room after 5 minutes, I'm alone in my house and I leave the room., The lights fade.",energy
114,"Lights detect movement , it's night time., I just woke up and entered the living room, Lights should turn on.",safety
115,"It's night time, it's dark, lights detect movement outside my house., Some people are passing in front of my house., Outdoors lights should turn on.",safety
116,"There's almost no movement in the living room. The sensor is detecting my location and where I am.
, I'm reading a book in the living room., Lights next to me should adjust their brightness to focus on me while the others should dim.",safety
118,"It's evening and the overhead light was on, but dimmed., I walk up to my stove with something simmering on it., The overhead light should brighten up to max so that I can examine whatever I'm cooking. ",health
120,"It is day time., Someone walks up to the door of the home., The lights do not turn on.",safety
122,"The animal does not count as a person, thus it is not authorized., An animal (family pet, either a dog or a cat) walks into the room., The room should not turn on the lights to enhance convenience or safety.",safety
123,"It is dark outside; the bird is much smaller than a person., A bird flies by the home., The lights should not turn on.",energy
124,"A light is already on., A person walks into the room., The lights should not change.",health
125,"The stray animal is not authorized and is not considered a potential intruder that needs to be scared off., A stray animal walks through the front yard of the home., The home does not automatically turn on lights because the animal does not need to be scared off.",safety
126,"It is day time., A person walks into the room., The lights should not turn on.",safety
127,"It's evening time (after the sun has set)., I'm walking through my hallway, The lighting in hallways and other areas should change from a blue light to a more warm light that's conducive of sleep. ",health
128,"There are no people in the room. The lights are authorized to turn off after 15 minutes., A person was in the room, but left the room 15 minutes ago. It is night time. The timer for the lights in the room is set to fade off the lights after 15 minutes of the room having no noise or movement., The lights turn off.",energy
129,"when no one is in the room, no movement, lights should fade off ",health
130,"home has special way of knowing how i walk, i walk in with my shoes, turns on all the lights including bathroom lights",energy
131,"I am not making noise or moving., I fall asleep on the couch for an afternoon nap for 2 hours., The lights should fade off in the room to save energy.",energy
132,"The house should detect the amount of time left before sunset and automatically adjust lighting in the house to accommodate., It is becoming dark outside and the sun is setting., Lights in rooms where people are present should automatically turn on.",energy
133,"light sensors acknowledge movement, person opens a door or walks through a room, lights come on automatically",safety
134,"it will sense if its an intruder that has a certain stealth walk, as soon as there is movement other than small animals passerbys walking, it will then turn on all the lights and sound an alarm if one is attached to the home",safety
135,"The person is authorized and the room detects that music is still playing, so the lights should remain on., A person leaves the room but leaves the stereo system on with the intent to return to the room later., The room stays lit because the stereo system is still playing.",entertainment
136,"I have entered a room and the home should automatically turn on the lights in that room., I hear a noise downstairs at night.  I walk into the dark dining room., The lights turn on so that I can find where the noise is coming from.",energy
137,"It is night time. The room is empty and the lights are off. The motion of the person entering the room is detected. The lights are authorized to turn on., A person enters the room., The lights turn on automatically so the person can see in the room.",safety
138,"There is no noise in the room, The tv is shut off and no one is there. Lights are set to fade off the lights in that room when myself or someone else isn't present., I leave my living room after watching tv and decide to go to sleep., Lights should automically fade to save energy.",energy
139,"it will take the lights off , i walk into the room quitly and if the home senses my footsteps, and turn the place pitchblack but leave a little light for me to walk",energy
140,"It is sensed that there is movement outside home when it is dark outside., It is night and a raccoon jumps onto a trashcan near my house., The smart home should automatically turn on exterior lights.  If sensors detect movement of a certain mass (human) or a certain heat signature the home owner will be notified.",safety
141,"The cat was laying still but has just woken up and begins moving. The cat gets up, stretches, and walks out of the room. The lights are authorized to turn on., A person was in the room but left a while ago. There is a cat in the room. The cat is sleeping., The lights turn on because movement is sensed.",energy
142,"Person outside is standing very close to my home., it's dark outside, there is someone outside that should not be there potentially a robber or criminal., Lights should automatically turn on to scare potential intruder off, so they think I turned them on.",safety
143,"No person is in the room; there is no noise except for the fan sound., A fan is blowing in the room., The lights should fade.",health
144,"sensors recognize lack of movement, the door opens and closes as I leave the house, lights automatically fade or shut off according to settings",safety
145,"The house detects my presence and the low lighting in the room., I sit down in the afternoon to read a book.  The sun starts setting and the room starts to grow dark., The smart home should optimize the lighting by lowering curtains and turning on indoor electric lighting.",health
146,"floor sensors recognize footsteps , I walk down a dark hallway in the middle of the night, hallway is lit automatically according to settings",energy
148,"When a person goes to bed for sleeping, Sleeping, Dim the light.",health
149,"sensors or camera catch movement, teenagers sneaking out at night, lights are turned on brightly as a deterrent",safety
150,"It is dark in the living room, There are electronic cords on the floor that are plugged into the wall that could be a safety hazard also there are stairs that contain 3 steps leading down to my living room., I am walking towards my living room, I have crutches., The lights should detect my motion of me walking and should turn on immediately to avoid me tripping/falling or hurting myself.",safety
151,"camera sensors track movement, coyotes creep onto the property near the backyard where the dog sleeps, lights come on bright enough to deter the coyote",safety
152,"sensors use thermal energy to sense where the majority of people are, having a dinner party, lights adjust accordingly",energy
153,"smart home detects the television being on , having a movie night with friends, lights are turned off during the movie and adjust when paused or stopped",entertainment
154,"Myself and my friends are not talking, we are not being loud or having a party we are relaxing and watching a movie on TV. No one has gotten up from the couch, It's night time and the room is dark. The only thing that lights up the room is the TV., Myself and my friends are sitting on the couch in the living room watching TV., The lights should turn on to dim lighting, and should detect any motion. Since there is no motion from my friends and myself moving about, The lights should dim to light up the room a bit, If myself and friends decide to get up from the couch the lights should dectect this movement and turn on from dim to bright. ",entertainment
155,"if someone isn't in the room, that room doesn't need to be fully lit, someone leaves the room and stays out of it for an hour or two, fade off the lights",safety
156,"The homeowner is out of town. Someone breaks in to the house and enters the room with the intention of robbing the house.  The lights are authorized to turn on., The lights in the room are turned off when there is no movement in the room., The lights turn on and the intruder leaves the house quickly, hoping to avoid getting caught in the attempt of robbing the house.",safety
157,"the light doesn't need to be on when they are gone, but if they're coming back soon, they might want the room still lit, someone leaves the room but comes back in a minute or two, the light fades on a delay; it starts to fade after 30 seconds to a minute, or fades at a slower rate initially",energy
158,"The homeowner drives up to their house. The motion from the vehicle along with the motion of the passengers exiting the vehicle are detected by the house. Some lights are authorized to turn on., It is night time and dark outside. The lights in the house are off., Some lights turn on in response to the detection of people.",safety
159,"Room is empty, There is no movement in the room during 5 minutes, Light should be faded off",energy
160,"Room is not empty, There is movement in the room , Lights should not be faded off",energy
161,"A robber walks up to the house with the intention of breaking in and stealing items from the house. The robber believes he is undetected. Some lights are authorized to turn on., It is late at night and dark outside. The lights in the house are turned off., Some lights in the house turn on when the motion of the robber walking up to the house is detected. The robber quickly leaves the scene to avoid getting caught.",safety
162,"the hallway needs to be lit up a few feet in advance of where the person is walking, but it doesn't all need to be lit up, especially if there are multiple branching pathways, someone walks down a dark hallway, the person passes a sensor and it triggers the lights to light up in turn down the hallway path they are headed towards",energy
163,"Smart home lights detect motion, I enter room and begin to sift through things in my closet., Smart home turn on",safety
164,"Smart lights detects motion, but under threshold to activate lighting., I briefly enter room and grab something off of my desk.  I am in the room for less than three seconds., Lighting stays off.",energy
165,"the lights would fade off, Having no movement in the room, energy is saved",energy
166,"Smart lights detect it is late and after the user's pre-configured bed time.  , Home owner is in bed and watching TV.  It is after 10 PM., Smart light shifts slightly red to help encourage sleep. (Similar to PC program f.lux)",health
167,"It is daytime., I walk up to my house., The lights should not turn on.",safety
168,"It is night time and there is no light source., My friend walks up to my house., The lights should turn on.",energy
169,"the home turns on with the lights, A room becomes dark, He is enhanced with the safety ",safety
170,"People are seated in the room. The tv is turned on and the movie begins to play. The lights are authorized to dim., Lights in the room are currently turned on and are bright. The people in the room are about to watch a movie and want the lights very dim while the movie plays., The lights dim to enhance the experience of watching the movie.",entertainment
171,"the room is activated and the room is dimmed , a smart home is the optimize the lightning, the dim lightening watched the TV",entertainment
172,"I am in the room for a period of time long enough for the house to turn the lights on., I walk into the kitchen and look for a snack in the cabinets., The lights turn on to help me look for a snack.",energy
173,"the dark outside, The movement is outside, the smart home turn on some lights",energy
174,"The person wants bright light overhead so they can read their book easily without straining their eyes. The rest of the room can have lights that are not as bright. Lights over the person are authorized to turn on bright., A person enters the room and wants to read a book., The lights in the immediate area where the person is seated turn on so they are bright. The rest of the room has lighting that is more subdued.",energy
175,"The home should recognize that there are low light conditions despite the time of day., It is morning, but it is stormy outside., The home should adjust lighting to compensate for the lack of natural lighting from outside.",health
176,"There is no movement from sentient objects in the room and no authorized people walk into the room, The owner of the house left the window open and a strong gust of wind blows some objects in the room over, causing movement in the room when no one is inside, The light should not turn on or if lights are on, they should turn off",energy
177,"The room realizes it is empty., You leave the room., It shuts off all the lights.",energy
178,"The house realizes there is movement outside., Someone is approaching your house at night., It turns on the lights.",safety
179,"The house realizes someone is inside., A person walks into the home., It turns on the lights.",safety
180,"The house realizes you have change what you are doing., You start an activity in the room., It adjusts the lights accordingly.",entertainment
181,"I need adequate lighting but i am moving very little, I am sitting in a room reading a book., Lights should remain on for reading",energy
182,"Lights do not need to remain on for pets., A small pet (cat or dog) moves about the room., Lights should dim or turn off if only pets are present.",safety
183,"It is the middle of the night and others are asleep in the room., I am walking to bathroom in the dark, Lights should not be turned in the middle of the night to shock people awake.",energy
184,"Lights had been dimmed or turned off for viewing, I turn off the TV, Lights should come on or brighten",energy
185,"If the noise isn't produced in the room itself, the lights shouldn't turn on., Someone in an adyacent room makes a noise that reaches a room that should be whit its lights off., Identify from where the noise come from and act accordingly.",energy
186,"Lights are off for TV viewing, The phone rings, Lights need to brighten or turn on to allow me to find the handset",entertainment
187,"Lights were down or off in the middle of the day due to plentiful natural light, A storm rolls in, Lights should turn on or brighten",energy
188,"Lights are low or off because of plentiful natural light., The sun sets, As the sun sets and the room darkens the lights should gradually come up.",energy
189,"Wildlife is plentiful in the area, up to the size of deer., An animal walks past., Lights should distinguish animal from human activity and not turn on every time an animal passes",safety
190,"If someone is reading, lights should become brighter, to help people who are nearsighted or have problem focusing their vision., Someone is reading a book, Lights become brighter",safety
191,"Leaving the house, and no one is home., After locking the door from outside all lights should be off, All lights should turn off automatically.",safety
192,"Lights should be as dim as possible without losing the general vision of the room., Someone is watching TV or using the PC, Lights become dimmer.",entertainment
193,"I am leaving for work after closing the door, and locking it., I leave home at 6am, The lights should gradually turn off.",safety
194,"I am preparing to go to work in the morning, I am half awake., I wake up to go the bathroom, the bathroom light should turn on as soon as I open the door",energy
195,"I am not expecting anyone else knocking on my door, or being in my yard., I have already locked all doors, After sensing a presence with a sensor, lights should turn on.",safety
196,"Outside lights should be as bright and strong as posible to help looking for intruders in case someone enters the house without permission., Someone enters the backyard/frontyard., Lights turn on at its max. potency.",safety
197,"The lights in the living room are on, I am watching a movie late at night, The lights should be dimmed as to not bother with too much brightness or being completely off.",energy
198,"Light should turn on for a short while, just to guide the person as he/she enters the house., A resident enters the smart home., Lights turn as long as the person remains outside, and turn off after.",safety
199,"The living room is empty, there is no noise or movement for a preconfigured time., I have gone upstairs for the night and left the lights on in the living room., The lights should automatically fade off to save energy.",energy
200,"There are no lights on in the kitchen and it is nighttime., My friend walks into the kitchen of my home, which is dark., The lights should come on automatically when my friend enters the room.",energy
