tid,detailedness,novelty,usefulness
306,0.00,1.50,3.00
307,-1.00,3.50,3.50
308,5.00,5.00,4.50
311,0.00,4.50,4.50
312,4.50,2.50,3.50
313,5.00,4.00,3.50
314,0.00,2.50,3.00
315,4.00,3.50,3.75
316,0.00,1.50,3.00
321,3.50,2.50,3.00
323,4.00,1.50,3.50
324,3.50,3.00,3.25
325,4.00,4.00,4.00
326,4.00,1.50,2.75
327,4.50,3.00,3.50
329,4.00,2.50,4.00
330,0.00,3.50,3.50
332,0.00,2.50,4.00
333,4.00,3.50,4.00
334,5.00,4.00,5.00
335,4.00,3.50,3.00
337,0.00,2.50,2.50
338,0.00,2.00,3.00
339,0.00,4.00,3.50
341,0.00,3.00,3.50
343,4.00,5.00,3.50
346,4.50,5.00,4.00
347,4.50,3.50,3.50
348,0.00,4.00,4.50
350,4.00,4.00,4.50
351,3.00,1.50,2.25
352,4.00,2.00,3.00
353,4.00,3.50,2.00
355,4.00,1.00,4.00
357,2.00,3.50,3.50
358,5.00,3.00,4.00
359,4.00,3.50,3.50
360,4.00,4.00,4.00
363,0.00,3.00,3.00
364,4.00,2.50,4.00
365,4.50,4.50,4.50
366,3.50,3.00,3.50
368,0.00,3.50,3.50
369,3.00,4.00,5.00
371,5.00,4.50,5.00
373,5.00,4.50,5.00
375,4.50,2.00,4.00
376,0.00,4.50,4.00
378,0.00,1.00,1.50
379,0.00,1.50,2.50
380,3.00,1.50,2.25
381,3.50,5.00,4.00
382,0.00,4.00,2.00
383,3.50,2.50,4.00
384,4.50,2.00,5.00
385,5.00,4.00,5.00
389,0.00,1.00,4.00
390,4.00,2.00,4.00
394,3.50,1.50,3.00
396,4.00,3.50,4.00
397,4.00,2.50,1.50
401,3.50,2.50,1.50
402,0.00,3.00,3.00
403,0.00,4.00,3.00
404,4.50,4.50,4.50
406,4.00,2.50,4.00
407,4.50,4.00,4.00
408,2.00,1.50,2.50
410,2.50,1.50,3.50
411,0.00,1.00,2.00
412,0.00,4.50,1.50
414,0.00,2.50,3.50
415,5.00,5.00,3.00
419,0.00,1.50,1.50
421,5.00,4.50,4.75
423,5.00,4.00,4.50
424,3.00,2.00,2.50
425,4.50,3.50,4.50
430,4.50,3.50,3.50
433,-1.00,2.50,3.50
435,0.00,4.00,4.50
436,3.50,3.00,5.00
440,4.00,4.50,4.50
441,3.50,2.00,3.50
443,4.00,3.00,4.00
444,4.00,1.50,3.50
445,5.00,4.00,4.50
446,4.50,3.00,5.00
447,4.00,1.50,4.00
449,0.00,2.50,2.50
452,4.50,2.50,5.00
454,-1.00,4.00,3.50
455,4.50,3.50,4.00
456,0.00,4.00,3.50
465,0.00,3.00,4.00
466,5.00,2.50,3.75
471,4.00,4.00,4.00
472,4.50,3.00,4.00
476,4.00,2.00,3.00
480,0.00,4.00,4.50
487,0.00,3.00,3.50
491,4.00,3.00,4.00
494,0.00,1.00,3.50
495,0.00,4.50,3.50
510,0.00,4.00,2.00
514,4.50,4.50,4.00
518,0.00,2.50,2.00
519,-1.00,2.50,3.00
521,0.00,1.00,2.50
528,0.00,4.50,4.50
530,0.00,3.50,3.50
531,-1.00,3.50,2.50
533,0.00,3.00,2.50
537,-1.00,3.00,3.00
541,5.00,3.50,4.00
542,0.00,2.00,1.50
544,2.50,1.50,4.00
545,4.50,3.50,4.00
546,4.50,2.00,4.00
547,-1.00,3.50,3.50
549,0.00,1.50,3.00
550,0.00,2.00,2.00
551,4.00,3.00,2.00
552,4.00,2.00,4.00
554,0.00,3.50,3.50
561,0.00,1.00,4.00
562,0.00,2.50,2.50
563,0.00,4.00,4.00
564,4.00,2.50,4.00
565,0.00,3.00,3.00
568,4.50,3.00,3.75
571,4.50,3.50,4.50
572,4.50,1.50,4.00
573,0.00,3.00,4.00
576,3.50,3.00,3.25
578,4.50,3.50,3.50
581,4.50,4.50,3.50
582,3.50,1.50,4.00
583,0.00,4.50,4.00
584,4.00,5.00,4.50
586,0.00,2.50,4.00
588,5.00,4.50,4.00
590,0.00,1.50,4.00
591,0.00,2.00,4.00
594,3.50,2.50,4.00
595,3.50,2.00,3.50
597,5.00,2.50,3.75
598,4.50,3.50,5.00
605,0.00,1.50,3.00
610,0.00,1.50,4.50
611,4.00,2.00,4.00
612,3.50,1.50,2.50
614,4.00,3.50,3.00
615,2.00,1.00,1.00
616,0.00,3.50,3.00
620,5.00,5.00,5.00
621,0.00,4.00,2.50
623,0.00,4.50,3.50
625,0.00,3.00,3.00
626,5.00,4.50,4.50
629,0.00,1.50,2.50
630,4.50,1.50,5.00
631,3.50,2.50,2.50
636,3.00,1.50,4.00
639,0.00,4.00,1.50
641,0.00,4.50,4.50
642,0.00,3.00,4.50
647,-1.00,3.00,3.00
648,5.00,3.00,4.00
650,0.00,2.00,4.00
651,0.00,4.50,4.00
652,4.00,2.50,3.00
654,4.00,5.00,4.50
659,0.00,3.00,2.50
661,0.00,4.50,3.00
663,3.00,1.50,3.50
665,0.00,5.00,3.50
670,5.00,3.50,5.00
671,-1.00,4.00,4.50
673,4.50,4.50,4.00
677,0.00,4.00,3.50
678,3.00,1.50,3.50
686,0.00,5.00,4.00
689,3.50,5.00,3.00
696,0.00,2.00,3.00
699,0.00,2.50,3.50
700,0.00,1.50,3.50
701,4.50,3.50,4.00
702,0.00,2.50,2.50
705,4.50,3.50,3.50
707,0.00,3.50,4.50
711,3.50,4.00,3.75
713,0.00,2.50,3.50
714,3.00,1.50,4.00
716,5.00,3.00,4.00
717,4.00,5.00,4.50
718,0.00,1.00,3.50
719,4.00,1.00,4.00
720,-1.00,2.50,3.50
721,3.00,2.00,2.50
722,0.00,1.00,2.00
724,5.00,2.00,4.00
725,4.00,2.50,3.25
727,-1.00,1.50,2.50
728,4.50,3.00,4.00
733,0.00,2.00,4.00
735,0.00,3.00,3.50
737,-1.00,3.00,3.50
738,0.00,3.00,2.50
740,5.00,3.50,3.50
741,-1.00,1.00,3.50
748,0.00,4.00,4.00
751,4.00,2.00,3.00
752,-1.00,4.00,5.00
754,3.50,1.50,4.00
757,5.00,3.50,3.00
758,4.50,3.00,4.00
759,3.50,3.00,5.00
760,0.00,2.00,3.50
763,0.00,2.50,3.50
764,4.50,5.00,4.50
766,4.50,2.50,4.00
769,4.00,3.50,3.00
772,5.00,4.00,5.00
774,0.00,2.50,4.00
778,4.00,1.50,2.75
779,4.00,1.50,2.75
780,0.00,1.00,3.00
781,4.00,2.00,3.00
782,-1.00,3.50,4.00
783,3.00,3.00,3.50
785,4.00,2.00,4.00
786,4.50,4.50,4.50
787,3.50,2.00,4.00
792,0.00,2.50,3.50
795,0.00,3.50,4.00
796,0.00,2.50,4.00
798,3.50,4.00,3.75
799,0.00,3.50,4.50
800,0.00,3.00,4.00
801,0.00,3.50,3.50
802,4.00,3.50,4.00
809,-1.00,2.50,3.50
811,0.00,3.00,2.50
814,-1.00,3.00,3.50
815,0.00,2.50,4.00
818,3.00,2.00,4.00
820,5.00,1.50,5.00
821,3.50,2.00,4.00
822,4.50,2.50,4.00
823,0.00,3.50,4.50
825,5.00,3.50,4.25
826,4.50,4.50,4.50
827,5.00,4.50,4.50
830,0.00,1.00,1.50
833,0.00,4.50,3.50
887,5.00,3.50,4.00
889,5.00,4.50,4.50
896,0.00,3.00,3.00
897,2.50,1.00,3.50
898,5.00,4.50,4.00
899,0.00,2.00,3.50
900,4.00,1.50,4.00
904,0.00,2.00,2.00
905,0.00,2.00,1.50
912,0.00,3.00,3.50
914,0.00,4.00,2.00
915,0.00,4.00,4.00
917,0.00,3.00,3.00
919,0.00,1.50,2.50
922,0.00,2.50,3.50
925,0.00,4.00,4.50
926,0.00,4.00,5.00
927,0.00,3.50,4.50
930,4.00,2.00,4.00
931,0.00,3.00,4.00
932,0.00,3.50,3.00
934,0.00,2.50,4.50
935,0.00,2.50,4.50
941,3.00,1.50,4.00
948,0.00,4.50,4.00
950,0.00,3.50,4.00
951,0.00,3.50,3.00
952,0.00,4.00,2.00
954,0.00,5.00,3.00
956,0.00,5.00,4.50
961,0.00,1.00,4.00
965,0.00,3.00,4.00
968,5.00,4.50,5.00
969,0.00,2.50,3.00
971,-1.00,1.00,3.50
972,4.00,2.00,4.00
973,0.00,3.00,3.50
977,0.00,2.00,3.50
981,0.00,3.50,4.00
985,0.00,4.50,4.50
987,0.00,2.00,4.00
993,0.00,4.00,2.50
994,-1.00,3.50,3.50
995,0.00,2.00,3.00
998,0.00,4.00,4.00
999,5.00,2.00,5.00
1001,-1.00,2.50,3.50
1002,-1.00,3.50,4.50
1003,0.00,5.00,3.50
1004,-1.00,2.50,4.00
1005,0.00,3.50,3.00
1008,0.00,3.00,3.00
1011,0.00,4.50,3.50
1012,0.00,4.00,4.50
1016,0.00,3.50,4.50
1017,-1.00,2.50,3.50
1020,0.00,3.00,4.00
1021,0.00,5.00,4.50
1022,0.00,1.00,3.00
1029,-1.00,3.50,3.50
1030,0.00,1.00,2.50
1031,0.00,3.50,2.50
1033,0.00,3.00,4.50
1035,-1.00,5.00,4.50
1038,0.00,2.00,2.50
1039,0.00,3.00,2.50
1042,-1.00,4.00,4.00
1043,0.00,4.00,3.00
1053,0.00,3.00,4.50
1054,0.00,3.00,3.00
1060,4.00,3.50,4.50
1061,0.00,1.00,3.50
1062,0.00,2.50,3.00
1063,0.00,3.50,4.50
1065,0.00,2.50,4.00
1069,0.00,3.50,3.50
1071,0.00,1.50,4.00
1072,0.00,2.50,3.50
1073,0.00,1.50,3.00
1076,0.00,2.00,2.00
1093,0.00,2.50,3.00
1096,0.00,3.00,3.00
1098,0.00,2.00,4.00
1099,3.00,2.00,4.00
1103,-1.00,4.50,3.50
1106,0.00,3.50,4.00
1107,0.00,4.00,4.50
1113,0.00,1.50,3.50
1119,0.00,2.00,3.50
1126,0.00,3.00,4.00
1128,0.00,5.00,5.00
1137,0.00,4.50,3.00
1142,0.00,2.00,3.50
1145,0.00,4.50,4.50
1150,5.00,4.00,4.00
1151,0.00,3.00,3.00
1152,0.00,3.00,3.50
1160,0.00,2.50,3.50
1166,0.00,3.50,3.50
1173,0.00,1.50,4.00
1174,0.00,1.00,2.50
1176,0.00,3.50,3.50
1177,0.00,2.00,3.50
1178,0.00,4.00,3.00
1184,-1.00,3.50,3.50
1192,0.00,2.00,4.50
1193,4.50,3.00,5.00
1194,0.00,3.00,2.50
1195,0.00,2.50,3.00
1200,-1.00,3.50,2.00
1201,0.00,3.00,2.50
1209,0.00,2.00,3.00
1214,-1.00,4.00,4.00
1216,0.00,4.50,3.00
1220,-1.00,2.00,3.50
1221,0.00,3.50,2.00
1222,0.00,1.50,3.50
1232,0.00,3.50,3.50
1235,0.00,4.00,4.00
1236,0.00,4.50,2.50
1237,4.00,3.50,5.00
1238,0.00,3.00,4.50
1242,0.00,2.50,2.50
1247,0.00,4.00,4.50
1251,0.00,3.00,3.00
1253,0.00,4.00,3.00
1255,0.00,3.00,3.50
1256,4.00,4.00,4.00
1259,0.00,2.50,3.00
1263,0.00,3.00,2.50
1265,0.00,5.00,5.00
1267,0.00,2.50,4.50
1269,0.00,2.00,3.50
1271,0.00,1.00,2.00
1275,0.00,3.00,4.50
1276,0.00,2.50,3.00
1286,0.00,3.50,1.50
1287,3.50,2.50,3.50
1288,0.00,1.50,2.50
1289,0.00,3.50,2.50
1291,0.00,5.00,4.50
1293,0.00,3.50,4.50
1298,0.00,2.50,3.00
1299,0.00,2.00,2.50
1300,0.00,3.00,3.50
1301,0.00,2.50,2.50
1302,0.00,2.50,3.00
1303,0.00,3.50,3.00
1304,4.50,5.00,3.00
1305,5.00,3.00,5.00
1306,4.50,5.00,4.00
1312,0.00,5.00,3.00
1316,5.00,3.00,3.50
1317,0.00,3.00,3.50
1327,0.00,1.00,3.50
1330,-1.00,4.00,1.50
1332,-1.00,3.50,3.50
1336,0.00,2.50,4.50
1339,-1.00,2.50,4.00
1341,0.00,3.50,4.50
1343,0.00,2.50,4.00
1344,0.00,4.50,3.50
1348,0.00,5.00,4.00
1349,0.00,4.00,2.50
1350,-1.00,3.50,4.00
1355,0.00,2.50,3.00
1357,0.00,2.00,3.00
1358,0.00,4.50,3.50
1361,5.00,4.50,5.00
1364,-1.00,3.00,4.00
1367,4.00,1.50,4.00
1369,4.00,2.50,4.00
1371,0.00,2.50,2.50
1374,0.00,4.00,3.00
1375,0.00,4.50,3.50
1376,0.00,4.00,4.50
1378,-1.00,4.50,4.50
1381,0.00,4.50,4.00
1383,0.00,2.50,3.50
1386,-1.00,4.00,4.50
1391,0.00,3.00,3.00
1400,0.00,3.00,3.50
1402,0.00,3.50,3.00
1403,0.00,3.50,3.00
1432,-1.00,1.00,2.50
1433,-1.00,3.00,4.00
1434,-1.00,4.50,3.50
1436,0.00,3.50,4.50
1459,0.00,3.00,3.50
1463,0.00,2.50,3.50
1551,5.00,4.50,4.00
1596,0.00,2.50,2.50
1608,0.00,4.50,4.00
1610,0.00,1.50,2.50
1612,0.00,3.50,3.50
1614,5.00,4.00,3.00
1626,0.00,2.50,4.00
1628,3.50,3.00,3.50
1632,0.00,3.00,3.00
1637,0.00,2.00,4.50
1639,0.00,3.50,4.50
1641,0.00,3.50,3.50
1664,4.00,2.00,4.00
1694,4.00,3.00,2.50
1695,0.00,3.50,3.50
1696,0.00,3.50,4.00
1698,0.00,3.00,3.50
1699,0.00,3.00,3.00
1703,0.00,2.50,3.00
1705,0.00,4.00,4.50
1714,0.00,3.00,3.50
1718,0.00,3.50,3.50
1737,0.00,2.50,3.00
1740,0.00,4.50,3.50
1869,4.00,2.00,4.00
1870,4.00,1.50,4.00
1873,0.00,4.00,3.50
1874,0.00,5.00,3.50
1884,0.00,3.50,4.50
1885,0.00,4.50,4.50
1888,0.00,2.00,3.50
1906,0.00,2.00,3.50
1907,-1.00,2.00,3.00
1908,0.00,1.50,3.00
1909,0.00,3.00,3.00
1915,0.00,2.50,3.50
1916,0.00,3.00,3.00
