id,gid,group_type,created_at,completion,personality,state,completion_code
676,191,1,9/8/16 16:30,2,C,7,BR8M4I6WET
679,191,1,9/8/16 16:32,2,C,7,MM35HT5CU9
681,191,1,9/8/16 16:36,2,C,7,LU576P9LU9
683,191,1,9/8/16 16:41,2,S,7,UV9U12E8MS
684,209,1,9/8/16 16:43,2,C,7,TL1DB89WQJ
685,194,1,9/8/16 16:47,2,S,7,GT804FXJLI
686,194,1,9/8/16 16:48,2,C,7,L6QERSKXRM
687,194,1,9/8/16 16:54,2,C,7,8PSPTTVETJ
692,197,1,9/8/16 17:46,2,S,7,ODK5K8BAA2
695,200,1,9/8/16 18:32,2,C,7,Y89D911LE9
704,200,1,9/8/16 22:32,2,S,7,3QM7JSTOB9
706,200,1,9/8/16 23:15,2,S,7,SBUH4XSUE4
708,203,1,9/8/16 23:56,2,C,7,D22QMZPAZU
709,203,1,9/9/16 3:25,2,S,7,NW1V0SO2YR
710,203,1,9/9/16 4:24,2,C,7,MVQY3R583V
711,212,1,9/9/16 5:26,2,C,7,IL85Y9Z9EX
715,206,1,9/9/16 10:19,2,S,7,84WD13473C
718,209,1,9/9/16 14:08,2,C,7,11QJEREVBT
721,-1,1,9/9/16 15:26,2,S,7,JX4YD5KP24
723,212,1,9/9/16 15:56,2,C,7,7XM3TOTC1B
725,212,1,9/9/16 16:17,2,C,7,U1T4W3F7VR
731,215,1,9/9/16 17:38,2,C,7,BITXCX8F2Y
733,215,1,9/9/16 18:06,2,S,7,5JCA6ZNBBY
734,215,1,9/9/16 18:11,2,C,7,3O916C01NM
737,217,1,9/9/16 18:55,2,C,7,0ISZB7X69E
738,217,1,9/9/16 19:00,2,S,7,7HDP4I9HF6
739,-1,1,9/9/16 19:43,2,C,7,40IRV1147V
742,217,1,9/9/16 20:53,2,C,7,LSOSKJVL7H
743,219,1,9/9/16 21:38,2,S,7,0K2IOU69HW
744,219,1,9/9/16 22:40,2,S,7,77FI1KU1NT
746,219,1,9/9/16 23:27,2,C,7,6T4KD7LY23
752,221,1,9/10/16 12:05,2,S,7,ZZFIL6TWXP
757,221,1,9/10/16 14:22,2,C,7,DTV8IVOKB9
758,223,1,9/10/16 15:15,2,C,7,F4K6ALBN1E
760,223,1,9/10/16 18:05,2,C,7,AVRXTGVLYP
776,225,1,9/12/16 9:32,2,S,7,Q7BRAYU5JU
33,162,2,8/9/16 18:44,2,S,7,4KGXR7RBYP
44,131,2,8/9/16 23:54,2,C,7,JSWTVUXA2O
76,47,2,8/12/16 15:43,2,S,7,R19K0GDGWY
78,53,2,8/12/16 15:43,2,D,7,EPLEZQCQ4J
84,48,2,8/12/16 15:44,2,C,7,UI70ISDUWW
87,48,2,8/12/16 15:44,2,C,7,C6D19R7ND1
93,50,2,8/12/16 15:49,2,S,7,EH1J5N0UVP
95,168,2,8/12/16 15:51,2,I,7,AB8TPTZKRV
98,50,2,8/12/16 15:53,2,D,7,4VKDOKOX8M
99,50,2,8/12/16 15:54,2,S,7,Q8XNIK078D
102,53,2,8/12/16 16:01,2,S,7,2655SQFKHM
107,53,2,8/12/16 16:11,2,S,7,66ZSPRDN10
108,54,2,8/12/16 16:14,2,C,7,OOJ46QSTRN
109,54,2,8/12/16 16:17,2,C,7,EVBKO2MQ4Z
110,54,2,8/12/16 16:26,2,C,7,SNNCH9TJZD
112,57,2,8/12/16 16:48,2,D,7,4XAWGV0488
121,57,2,8/12/16 17:32,2,I,7,5H9J5NV9SL
123,59,2,8/12/16 17:53,2,D,7,GWSW8N7K2Y
125,59,2,8/12/16 18:32,2,I,7,MWU6SYRJ6R
130,60,2,8/12/16 20:54,2,C,7,UEK977Y0T0
131,60,2,8/12/16 22:00,2,C,7,FI07A4H6ZV
139,62,2,8/13/16 0:24,2,C,7,YF828E0ACX
140,62,2,8/13/16 0:24,2,I,7,JCJSWI0D41
143,63,2,8/13/16 1:32,2,D,7,25YBB6Y7N4
144,63,2,8/13/16 2:06,2,I,7,99ZQJITYB8
148,65,2,8/13/16 12:25,2,S,7,7PZEOD7M0Y
150,66,2,8/13/16 13:36,2,C,7,1ASE4QIYFS
153,68,2,8/13/16 15:44,2,C,7,M3EGAIN3KM
157,68,2,8/13/16 15:45,2,C,7,JTPAY5IPH6
160,66,2,8/13/16 15:52,2,C,7,J0PNDBH4D1
161,68,2,8/13/16 15:56,2,S,7,8DK5Y1HI80
162,69,2,8/13/16 16:07,2,D,7,IBF873X794
165,69,2,8/13/16 16:15,2,D,7,DBKWFBOFRQ
166,71,2,8/13/16 16:31,2,I,7,0PK4I74DZZ
167,71,2,8/13/16 16:35,2,S,7,G22YOJDXD9
169,71,2,8/13/16 17:44,2,C,7,XCVPK61DD6
170,72,2,8/13/16 17:51,2,I,7,FEGZWI4CZ4
171,72,2,8/13/16 18:50,2,D,7,P2RTKM2N2I
173,72,2,8/13/16 19:11,2,C,7,YJ4NZR2DF3
177,74,2,8/14/16 4:45,2,I,7,8JRT16VTER
178,74,2,8/14/16 5:13,2,S,7,V36HLD3IV3
182,75,2,8/14/16 8:47,2,C,7,38I2MD7PVR
188,173,2,8/14/16 13:42,2,C,7,4LWRB8OODZ
191,77,2,8/14/16 14:57,2,C,7,U2RIQ97T9R
195,79,2,8/15/16 11:04,2,S,7,FT2S6KIG49
196,79,2,8/15/16 14:00,2,S,7,TLD3ZZFJPO
198,79,2,8/15/16 14:24,2,D,7,9FJEN0FHTY
205,83,2,8/15/16 14:26,2,C,7,UW4MJBBOWR
207,81,2,8/15/16 14:27,2,D,7,6PBSEZ7KXH
211,80,2,8/15/16 14:31,2,D,7,5CN8QF8HRS
212,95,2,8/15/16 14:35,2,C,7,O8SNWA7AIO
213,80,2,8/15/16 14:35,2,I,7,4LLRLCF9S2
214,81,2,8/15/16 14:36,2,S,7,F9IV10JYWI
217,82,2,8/15/16 14:41,2,C,7,HLIX46TO9C
218,83,2,8/15/16 14:44,2,C,7,995W8I1AVS
221,82,2,8/15/16 14:47,2,I,7,81PKYJ6FKI
232,85,2,8/15/16 15:13,2,D,7,3ABMTXLNE4
235,85,2,8/15/16 15:22,2,D,7,TWG1GUMAQZ
236,85,2,8/15/16 15:32,2,S,7,ZKVNS9W9RO
237,85,2,8/15/16 15:33,2,I,7,8MCIGGH1PT
239,88,2,8/15/16 15:42,2,D,7,36TBJKC8JM
240,86,2,8/15/16 15:43,2,C,7,R85PPTJI9Z
241,86,2,8/15/16 15:45,2,S,7,XLPLYWLJ37
242,90,2,8/15/16 15:55,2,C,7,G0LJGZV3IN
246,87,2,8/15/16 16:11,2,I,7,V5IH25BON1
252,87,2,8/15/16 16:53,2,C,7,G7TDW00KBV
256,88,2,8/15/16 17:26,2,S,7,AN72IPDXXH
258,88,2,8/15/16 17:28,2,D,7,QUKSAMEWOB
265,90,2,8/15/16 18:48,2,I,7,O3CHVCCXIX
269,91,2,8/15/16 20:55,2,C,7,OOOMKPXFRU
270,91,2,8/15/16 21:18,2,S,7,XL81C7NY71
271,91,2,8/15/16 21:33,2,D,7,LBBYCKRU60
273,92,2,8/15/16 23:18,2,C,7,2OYT1L9PI8
274,95,2,8/15/16 23:26,2,C,7,ZFPVP4WBGE
280,92,2,8/16/16 2:27,2,D,7,3UAMOJWEVB
281,136,2,8/16/16 2:35,2,I,7,VC2EHH4GEQ
284,93,2,8/16/16 3:56,2,C,7,P7K265N3AV
286,93,2,8/16/16 6:59,2,D,7,QB5I1POWFY
287,93,2,8/16/16 7:20,2,C,7,IMTOPDRK8K
288,93,2,8/16/16 7:45,2,S,7,B1ZQ32A420
295,95,2,8/16/16 10:30,2,I,7,32GSAYY271
296,95,2,8/16/16 11:45,2,C,7,WSDCXMEEJP
302,127,2,8/16/16 12:55,2,I,7,GBPF2WSSQB
304,96,2,8/16/16 13:08,2,C,7,NMSYRZ04YX
306,96,2,8/16/16 13:22,2,C,7,5MFD7L8QAR
307,97,2,8/16/16 13:28,2,S,7,2IN38KCL95
311,97,2,8/16/16 13:50,2,D,7,1MN8WXYFJ2
313,98,2,8/16/16 14:27,2,D,7,OKZ3Z98JAK
315,97,2,8/16/16 14:32,2,C,7,52L9GMSYY0
316,98,2,8/16/16 14:44,2,I,7,UMRNLA6GUF
317,98,2,8/16/16 14:47,2,D,7,KNOXSIFBSL
318,98,2,8/16/16 15:08,2,S,7,ZW8NP4ZT7V
325,100,2,8/16/16 15:52,2,I,7,CMLD8JEEHZ
327,100,2,8/16/16 16:11,2,S,7,6CFRKNCJH9
331,100,2,8/16/16 17:08,2,S,7,SD3T17XAUI
333,100,2,8/16/16 18:36,2,I,7,ASQEI3HKXE
336,101,2,8/16/16 19:01,2,I,7,CKNQBJJGZE
343,104,2,8/16/16 19:54,2,S,7,R0C9ZPP7EI
346,103,2,8/16/16 20:31,2,S,7,SWGL5GSAR2
348,103,2,8/16/16 20:48,2,C,7,G2Z2D9WC8C
349,103,2,8/16/16 20:48,2,S,7,GK5NNSJF5J
351,103,2,8/16/16 21:12,2,I,7,YVJUK6N3L2
353,104,2,8/16/16 22:47,2,C,7,M1WTCZF8IT
375,106,2,8/17/16 17:41,2,C,7,U8TG83GO2F
378,107,2,8/17/16 18:59,2,D,7,LBZEYAR4EU
381,107,2,8/17/16 21:10,2,C,7,Y88WBFWKVG
386,108,2,8/18/16 19:13,2,C,7,RATB3ZUAGJ
397,114,2,8/31/16 16:35,2,C,7,DFK400HOWB
400,114,2,8/31/16 16:35,2,D,7,2OIOJBX0LL
402,119,2,8/31/16 16:36,2,C,7,UJ3Y723RR4
404,115,2,8/31/16 16:36,2,I,7,OZDK25YTY6
410,114,2,8/31/16 16:39,2,I,7,6OZHO6TJFU
411,116,2,8/31/16 16:39,2,C,7,2VBUWSAB7Q
419,117,2,8/31/16 16:51,2,S,7,SC2WBJZGW8
421,119,2,8/31/16 16:58,2,S,7,C3OULSIRMN
423,119,2,8/31/16 17:01,2,S,7,LZSF84LMPY
424,122,2,8/31/16 17:10,2,S,7,219MDYVTSG
425,120,2,8/31/16 17:10,2,C,7,LO28W2MLX7
426,117,2,8/31/16 17:15,2,I,7,OZ8C3HAPFJ
432,120,2,8/31/16 17:53,2,I,7,HQN75M29F9
433,123,2,8/31/16 18:00,2,C,7,Y226U1I9IP
434,115,2,8/31/16 18:03,2,I,7,NR2LITY7O1
440,125,2,8/31/16 18:37,2,C,7,S97GWXFDI7
442,125,2,8/31/16 19:20,2,S,7,JTG9ISREP3
444,125,2,8/31/16 19:28,2,C,7,T87BNJLCS3
445,131,2,8/31/16 19:40,2,C,7,3NZG5NBIZT
451,129,2,8/31/16 21:58,2,C,7,XOCOINYU9L
452,120,2,8/31/16 22:06,2,D,7,DZL5I0CA7K
454,131,2,9/1/16 0:53,2,C,7,6U2AI2R2CI
455,131,2,9/1/16 4:56,2,C,7,Q32ACJC1WJ
464,135,2,9/1/16 11:28,2,S,7,NXXZQKYTIK
465,143,2,9/1/16 11:49,2,C,7,99GSXZMVC5
466,137,2,9/1/16 13:06,2,S,7,OPK6G2V1ZY
469,135,2,9/1/16 13:57,2,C,7,V2WBGHROAL
471,167,2,9/1/16 14:39,2,C,7,P4JDL0GOW9
474,123,2,9/1/16 15:49,2,D,7,L4OMF5OO8H
475,123,2,9/1/16 15:55,2,I,7,AVD82VAYSM
480,138,2,9/1/16 16:38,2,S,7,6KP26KK3N8
485,140,2,9/1/16 19:36,2,C,7,6OD0RQSLDW
486,140,2,9/1/16 20:41,2,S,7,V9DR2HDBSZ
489,141,2,9/1/16 22:15,2,S,7,U1CFDGA5I6
490,129,2,9/1/16 22:41,2,I,7,UP723OVNBM
491,141,2,9/1/16 23:08,2,C,7,8KV6NS9ZGD
492,129,2,9/2/16 1:54,2,D,7,V2RQ65V35S
493,143,2,9/2/16 4:15,2,S,7,FOV9QT61UG
497,143,2,9/2/16 7:34,2,S,7,DYJHHJPSKF
499,135,2,9/2/16 11:39,2,I,7,QFHY68355J
502,144,2,9/2/16 15:40,2,S,7,N900RQZQKX
503,132,2,9/2/16 15:48,2,D,7,1CUQUG2BAU
515,141,2,9/2/16 19:37,2,I,7,CMD9XBPM8P
518,161,2,9/2/16 20:47,2,S,7,5B2XD03ORY
520,149,2,9/2/16 20:47,2,C,7,7B9F207BKR
521,152,2,9/2/16 20:47,2,S,7,PNZOX9CFRY
525,150,2,9/2/16 20:47,2,S,7,FMX1M900HS
528,149,2,9/2/16 20:47,2,S,7,A8ZVKDL9IR
529,158,2,9/2/16 20:47,2,S,7,1E4RUF5UDQ
530,152,2,9/2/16 20:48,2,C,7,2DR6TXZP32
531,147,2,9/2/16 20:48,2,C,7,3BMNGKCV7D
532,153,2,9/2/16 20:49,2,C,7,AP6FDBQB41
534,150,2,9/2/16 20:49,2,C,7,STMYDKJWJO
535,149,2,9/2/16 20:50,2,S,7,2GB8W0J0G8
537,147,2,9/2/16 20:50,2,I,7,F5D7VP2J6E
539,152,2,9/2/16 20:52,2,S,7,J8ZRSX2WLM
542,155,2,9/2/16 21:01,2,S,7,ZR0ZULH15U
544,118,2,9/2/16 21:07,2,I,7,7TS0K7OJPA
546,153,2,9/2/16 21:12,2,I,7,FFLNLE51NZ
547,135,2,9/2/16 21:24,2,D,7,D2V299BI8V
554,156,2,9/2/16 21:43,2,C,7,KWDANIL2SD
555,156,2,9/2/16 21:52,2,S,7,ZHPYFDMCXT
561,158,2,9/2/16 22:40,2,S,7,644LH0XCYN
565,121,2,9/2/16 23:15,2,I,7,SX87HUYZS1
566,161,2,9/2/16 23:20,2,S,7,I892MFRZK7
570,144,2,9/3/16 0:38,2,D,7,WVJHPJCMG4
573,161,2,9/3/16 6:40,2,S,7,AALOKGCB7Y
574,147,2,9/3/16 8:33,2,D,7,141QELBHRC
575,159,2,9/3/16 9:17,2,I,7,PJSVB3YQRW
576,150,2,9/3/16 10:08,2,D,7,XSYHC99DSS
580,156,2,9/3/16 13:07,2,D,7,8166G1BCS6
582,124,2,9/3/16 13:38,2,I,7,V2LAA5J71I
583,159,2,9/3/16 14:05,2,C,7,YRVI8OJO3P
584,162,2,9/3/16 14:37,2,C,7,JTLTB1P1NV
589,164,2,9/3/16 20:32,2,S,7,WSJTAR36L4
590,164,2,9/3/16 20:44,2,C,7,AX1OOZ76YV
591,167,2,9/3/16 20:48,2,C,7,5BCDQKEYO9
592,124,2,9/3/16 20:50,2,I,7,3QEBJK110N
594,167,2,9/3/16 21:09,2,S,7,YO0W9HCPIV
598,162,2,9/3/16 21:51,2,I,7,MAZGN1LOIX
599,167,2,9/4/16 5:06,2,S,7,2KUBWFFG4M
600,168,2,9/4/16 6:03,2,C,7,HYAWHHB155
606,165,2,9/4/16 15:10,2,I,7,D8PWX49FX7
607,171,2,9/4/16 15:44,2,C,7,GE5987CEPP
608,159,2,9/4/16 20:36,2,D,7,JXKXMMK21G
614,173,2,9/5/16 1:01,2,C,7,CRJT7ZLHNO
615,173,2,9/5/16 9:52,2,S,7,KT6E5VN0MF
619,127,2,9/5/16 19:34,2,I,7,2ZLFBIP3T2
621,173,2,9/8/16 15:53,2,C,7,BIWHC9L5OU
623,127,2,9/8/16 15:53,2,I,7,U6552AGVPV
636,127,2,9/8/16 15:54,2,I,7,QW7S51OQH7
641,130,2,9/8/16 15:55,2,I,7,1KMYENAWY4
652,171,2,9/8/16 15:57,2,D,7,1S7W9EAWLY
670,130,2,9/8/16 16:12,2,D,7,LE3M59XX7X
672,133,2,9/8/16 16:17,2,D,7,Y1CFWK8A2O
689,133,2,9/8/16 16:58,2,I,7,XWB3LRCOW5
700,136,2,9/8/16 20:41,2,D,7,HOI3A9E758
701,139,2,9/8/16 21:48,2,I,7,0ED6PTNRZX
702,139,2,9/8/16 21:56,2,D,7,V77YI44FH0
703,139,2,9/8/16 22:10,2,I,7,DYFL6S9J22
729,142,2,9/9/16 16:51,2,I,7,46EODDTDQP
748,145,2,9/10/16 5:56,2,D,7,BHY2UX8VR3
762,148,2,9/11/16 2:07,2,I,7,YHLMGZ8ZFQ
764,148,2,9/11/16 5:38,2,I,7,X93KSGX1S9
767,151,2,9/11/16 12:43,2,D,7,ZOKT82YO5M
770,148,2,9/11/16 13:22,2,I,7,GHLFUL9LYB
773,151,2,9/11/16 16:06,2,I,7,EG63RNCS6V
782,151,2,9/14/16 5:43,2,D,7,6FI80NJ9XB
784,151,2,9/15/16 15:46,2,I,7,0SZJUOZ3UG
