id,question_id,user_id,description,created_at
182,2,53,"25 to 34","2016-08-10 14:34:21"
183,3,53,"Some college but no degree","2016-08-10 14:34:21"
184,4,53,"Data Entry Operator","2016-08-10 14:34:21"
185,5,53,"Yes; for more than five years","2016-08-10 14:34:21"
186,6,53,"Very high","2016-08-10 14:34:21"
187,7,53,Medium,"2016-08-10 14:34:21"
188,8,53,No,"2016-08-10 14:34:21"
189,9,53,"I had an experience writing the soft for my Arduino 2560 Mega to handle my house's light, refrigerator, camera etc. But I haven't install "true" Smart Home system yet.","2016-08-10 14:34:21"
199,1,54,Female,"2016-08-10 15:33:45"
200,2,54,"35 to 45","2016-08-10 15:33:45"
201,3,54,"Some college but no degree","2016-08-10 15:33:45"
202,4,54,"liberal arts","2016-08-10 15:33:45"
203,5,54,No,"2016-08-10 15:33:45"
204,6,54,Low,"2016-08-10 15:33:45"
205,7,54,Medium,"2016-08-10 15:33:45"
206,8,54,No,"2016-08-10 15:33:45"
207,9,54,,"2016-08-10 15:33:45"
208,1,56,Male,"2016-08-10 17:24:14"
209,2,56,"18 to 24","2016-08-10 17:24:15"
210,3,56,"Bachelor degree","2016-08-10 17:24:16"
211,4,56,Economics,"2016-08-10 17:24:19"
212,5,56,No,"2016-08-10 17:24:21"
213,6,56,"Very high","2016-08-10 17:24:22"
214,7,56,High,"2016-08-10 17:24:23"
215,8,56,No,"2016-08-10 17:24:24"
216,9,56,"I currently do not use any smart home technologies, but I am very interested in using smarthome technologies as technology has always been an enjoyable hobby to me.","2016-08-10 17:24:25"
217,1,58,Male,"2016-08-10 18:47:23"
218,2,58,"25 to 34","2016-08-10 18:47:23"
219,3,58,"Bachelor degree","2016-08-10 18:47:23"
220,4,58,English,"2016-08-10 18:47:23"
221,5,58,No,"2016-08-10 18:47:23"
222,6,58,Low,"2016-08-10 18:47:23"
223,7,58,Low,"2016-08-10 18:47:23"
224,8,58,No,"2016-08-10 18:47:23"
225,9,58,,"2016-08-10 18:47:23"
226,1,61,Female,"2016-08-10 19:58:11"
227,2,61,"25 to 34","2016-08-10 19:58:11"
228,3,61,"Some college but no degree","2016-08-10 19:58:11"
229,4,61,"business administration","2016-08-10 19:58:11"
230,5,61,"Yes; for one to five years","2016-08-10 19:58:11"
231,6,61,High,"2016-08-10 19:58:11"
232,7,61,Low,"2016-08-10 19:58:11"
233,8,61,No,"2016-08-10 19:58:11"
234,9,61,,"2016-08-10 19:58:11"
244,1,63,Male,"2016-08-10 22:48:44"
245,2,63,"35 to 45","2016-08-10 22:48:44"
246,3,63,"Graduate degree","2016-08-10 22:48:44"
247,4,63,"Business Administration","2016-08-10 22:48:44"
248,5,63,No,"2016-08-10 22:48:44"
249,6,63,High,"2016-08-10 22:48:44"
250,7,63,Medium,"2016-08-10 22:48:44"
251,8,63,No,"2016-08-10 22:48:44"
252,9,63,"The only "smart" technology is motion detection light switches.","2016-08-10 22:48:44"
262,1,65,Male,"2016-08-11 09:17:09"
263,2,65,"25 to 34","2016-08-11 09:17:09"
264,3,65,"Some college but no degree","2016-08-11 09:17:09"
265,4,65,"computer science","2016-08-11 09:17:09"
266,5,65,"Yes; for one to five years","2016-08-11 09:17:09"
267,6,65,Medium,"2016-08-11 09:17:09"
268,7,65,High,"2016-08-11 09:17:09"
269,8,65,Yes,"2016-08-11 09:17:09"
270,9,65,,"2016-08-11 09:17:09"
289,1,68,Female,"2016-08-11 10:50:19"
290,2,68,"25 to 34","2016-08-11 10:50:19"
291,3,68,"Graduate degree","2016-08-11 10:50:19"
292,4,68,"economic cybernetics","2016-08-11 10:50:19"
293,5,68,"Yes; for one to five years","2016-08-11 10:50:19"
294,6,68,High,"2016-08-11 10:50:19"
295,7,68,Low,"2016-08-11 10:50:19"
296,8,68,No,"2016-08-11 10:50:19"
297,9,68,,"2016-08-11 10:50:19"
307,1,71,Male,"2016-08-11 19:36:09"
308,2,71,"25 to 34","2016-08-11 19:36:09"
309,3,71,"Some college but no degree","2016-08-11 19:36:09"
310,4,71,"Associates of Arts","2016-08-11 19:36:09"
311,5,71,No,"2016-08-11 19:36:09"
312,6,71,Medium,"2016-08-11 19:36:09"
313,7,71,Low,"2016-08-11 19:36:09"
314,8,71,No,"2016-08-11 19:36:09"
315,9,71,,"2016-08-11 19:36:09"
316,1,72,Male,"2016-08-12 10:42:37"
317,2,72,"25 to 34","2016-08-12 10:42:37"
318,3,72,"Graduate degree","2016-08-12 10:42:37"
319,4,72,Design,"2016-08-12 10:42:37"
320,5,72,No,"2016-08-12 10:42:37"
321,6,72,Medium,"2016-08-12 10:42:37"
322,7,72,Medium,"2016-08-12 10:42:37"
323,8,72,No,"2016-08-12 10:42:37"
324,9,72,,"2016-08-12 10:42:37"
370,1,76,Male,"2016-08-12 15:45:47"
371,2,76,"18 to 24","2016-08-12 15:45:47"
372,3,76,"High school degree or equivalent (e.g., GED)","2016-08-12 15:45:47"
373,4,76,,"2016-08-12 15:45:47"
374,5,76,No,"2016-08-12 15:45:47"
375,6,76,Medium,"2016-08-12 15:45:47"
376,7,76,Medium,"2016-08-12 15:45:47"
377,8,76,No,"2016-08-12 15:45:47"
378,9,76,,"2016-08-12 15:45:47"
469,1,77,Female,"2016-08-12 15:50:55"
470,2,77,"25 to 34","2016-08-12 15:50:55"
471,3,77,"Some college but no degree","2016-08-12 15:50:55"
472,4,77,"Computer Science","2016-08-12 15:50:55"
473,5,77,No,"2016-08-12 15:50:55"
474,6,77,"Very high","2016-08-12 15:50:55"
475,7,77,High,"2016-08-12 15:50:55"
476,8,77,No,"2016-08-12 15:50:55"
477,9,77,,"2016-08-12 15:50:55"
406,1,78,Female,"2016-08-12 15:46:26"
407,2,78,"25 to 34","2016-08-12 15:46:26"
408,3,78,"Bachelor degree","2016-08-12 15:46:26"
409,4,78,english,"2016-08-12 15:46:26"
410,5,78,No,"2016-08-12 15:46:26"
411,6,78,Medium,"2016-08-12 15:46:26"
412,7,78,Medium,"2016-08-12 15:46:26"
413,8,78,No,"2016-08-12 15:46:26"
414,9,78,,"2016-08-12 15:46:26"
388,1,84,Male,"2016-08-12 15:46:07"
389,2,84,"25 to 34","2016-08-12 15:46:07"
390,3,84,"Bachelor degree","2016-08-12 15:46:07"
391,4,84,Economics,"2016-08-12 15:46:07"
392,5,84,No,"2016-08-12 15:46:07"
393,6,84,Low,"2016-08-12 15:46:07"
394,7,84,Medium,"2016-08-12 15:46:07"
395,8,84,No,"2016-08-12 15:46:07"
396,9,84,,"2016-08-12 15:46:07"
379,1,86,Female,"2016-08-12 15:46:05"
380,2,86,"25 to 34","2016-08-12 15:46:05"
381,3,86,"High school degree or equivalent (e.g., GED)","2016-08-12 15:46:05"
382,4,86,,"2016-08-12 15:46:05"
383,5,86,No,"2016-08-12 15:46:05"
384,6,86,Medium,"2016-08-12 15:46:05"
385,7,86,Low,"2016-08-12 15:46:05"
386,8,86,No,"2016-08-12 15:46:05"
387,9,86,,"2016-08-12 15:46:05"
415,1,87,Female,"2016-08-12 15:46:43"
416,2,87,"25 to 34","2016-08-12 15:46:43"
417,3,87,"Bachelor degree","2016-08-12 15:46:43"
418,4,87,literature,"2016-08-12 15:46:43"
419,5,87,No,"2016-08-12 15:46:43"
420,6,87,Medium,"2016-08-12 15:46:43"
421,7,87,Medium,"2016-08-12 15:46:43"
422,8,87,No,"2016-08-12 15:46:43"
423,9,87,,"2016-08-12 15:46:43"
433,1,88,Female,"2016-08-12 15:46:53"
434,2,88,"18 to 24","2016-08-12 15:46:53"
435,3,88,"High school degree or equivalent (e.g., GED)","2016-08-12 15:46:53"
436,4,88,,"2016-08-12 15:46:53"
437,5,88,No,"2016-08-12 15:46:53"
438,6,88,Low,"2016-08-12 15:46:53"
439,7,88,"Very high","2016-08-12 15:46:53"
440,8,88,Yes,"2016-08-12 15:46:53"
441,9,88,,"2016-08-12 15:46:53"
460,1,89,Male,"2016-08-12 15:50:13"
461,2,89,"35 to 45","2016-08-12 15:50:13"
462,3,89,"Bachelor degree","2016-08-12 15:50:13"
463,4,89,"Mechanical engineering","2016-08-12 15:50:13"
464,5,89,"Yes; for more than five years","2016-08-12 15:50:13"
465,6,89,High,"2016-08-12 15:50:13"
466,7,89,High,"2016-08-12 15:50:13"
467,8,89,"Not sure","2016-08-12 15:50:13"
468,9,89,,"2016-08-12 15:50:13"
442,1,91,Male,"2016-08-12 15:48:35"
443,2,91,"25 to 34","2016-08-12 15:48:35"
444,3,91,"Bachelor degree","2016-08-12 15:48:35"
445,4,91,"General Transfers","2016-08-12 15:48:35"
446,5,91,No,"2016-08-12 15:48:35"
447,6,91,High,"2016-08-12 15:48:35"
448,7,91,Medium,"2016-08-12 15:48:35"
449,8,91,"Not sure","2016-08-12 15:48:35"
450,9,91,,"2016-08-12 15:48:35"
487,1,93,Male,"2016-08-12 15:52:21"
488,2,93,"35 to 45","2016-08-12 15:52:21"
489,3,93,"Some college but no degree","2016-08-12 15:52:21"
490,4,93,,"2016-08-12 15:52:21"
491,5,93,No,"2016-08-12 15:52:21"
492,6,93,Medium,"2016-08-12 15:52:21"
493,7,93,Low,"2016-08-12 15:52:21"
494,8,93,No,"2016-08-12 15:52:21"
495,9,93,,"2016-08-12 15:52:21"
4301,1,95,Female,"2016-09-04 21:57:10"
4302,2,95,"25 to 34","2016-09-04 21:57:10"
4303,3,95,"Some college but no degree","2016-09-04 21:57:10"
4304,4,95,Philosophy,"2016-09-04 21:57:10"
4305,5,95,No,"2016-09-04 21:57:10"
4306,6,95,Low,"2016-09-04 21:57:10"
4307,7,95,Medium,"2016-09-04 21:57:10"
4308,8,95,No,"2016-09-04 21:57:10"
4309,9,95,,"2016-09-04 21:57:10"
496,1,98,Female,"2016-08-12 15:55:02"
497,2,98,"35 to 45","2016-08-12 15:55:02"
498,3,98,"Some college but no degree","2016-08-12 15:55:02"
499,4,98,"general studies","2016-08-12 15:55:02"
500,5,98,"Yes; for one to five years","2016-08-12 15:55:02"
501,6,98,Low,"2016-08-12 15:55:02"
502,7,98,"Very low","2016-08-12 15:55:02"
503,8,98,No,"2016-08-12 15:55:02"
504,9,98,,"2016-08-12 15:55:02"
505,1,99,Female,"2016-08-12 15:55:59"
506,2,99,"25 to 34","2016-08-12 15:55:59"
507,3,99,"High school degree or equivalent (e.g., GED)","2016-08-12 15:55:59"
508,4,99,,"2016-08-12 15:55:59"
509,5,99,No,"2016-08-12 15:55:59"
510,6,99,"Very low","2016-08-12 15:55:59"
511,7,99,Low,"2016-08-12 15:55:59"
512,8,99,No,"2016-08-12 15:55:59"
513,9,99,,"2016-08-12 15:55:59"
532,1,102,Male,"2016-08-12 16:04:21"
533,2,102,"25 to 34","2016-08-12 16:04:21"
534,3,102,"Graduate degree","2016-08-12 16:04:21"
535,4,102,"Physics ","2016-08-12 16:04:21"
536,5,102,"Yes; for one to five years","2016-08-12 16:04:21"
537,6,102,High,"2016-08-12 16:04:21"
538,7,102,Medium,"2016-08-12 16:04:21"
539,8,102,"Not sure","2016-08-12 16:04:21"
540,9,102,,"2016-08-12 16:04:21"
541,1,103,Female,"2016-08-12 16:05:14"
542,2,103,"35 to 45","2016-08-12 16:05:14"
543,3,103,"Bachelor degree","2016-08-12 16:05:14"
544,4,103,Journalism,"2016-08-12 16:05:14"
545,5,103,No,"2016-08-12 16:05:14"
546,6,103,"Very low","2016-08-12 16:05:14"
547,7,103,"Very low","2016-08-12 16:05:14"
548,8,103,No,"2016-08-12 16:05:14"
549,9,103,,"2016-08-12 16:05:14"
559,1,104,Female,"2016-08-12 16:05:52"
560,2,104,"25 to 34","2016-08-12 16:05:52"
561,3,104,"Some college but no degree","2016-08-12 16:05:52"
562,4,104,,"2016-08-12 16:05:52"
563,5,104,No,"2016-08-12 16:05:52"
564,6,104,Low,"2016-08-12 16:05:52"
565,7,104,Low,"2016-08-12 16:05:52"
566,8,104,No,"2016-08-12 16:05:52"
567,9,104,,"2016-08-12 16:05:52"
550,1,105,Female,"2016-08-12 16:05:32"
551,2,105,"45 to 54","2016-08-12 16:05:32"
552,3,105,"Graduate degree","2016-08-12 16:05:32"
553,4,105,MBA,"2016-08-12 16:05:32"
554,5,105,"Yes; for more than five years","2016-08-12 16:05:32"
555,6,105,High,"2016-08-12 16:05:32"
556,7,105,Medium,"2016-08-12 16:05:32"
557,8,105,No,"2016-08-12 16:05:32"
558,9,105,,"2016-08-12 16:05:32"
568,1,107,Male,"2016-08-12 16:13:02"
569,2,107,"18 to 24","2016-08-12 16:13:02"
570,3,107,"Some college but no degree","2016-08-12 16:13:02"
571,4,107,,"2016-08-12 16:13:02"
572,5,107,No,"2016-08-12 16:13:02"
573,6,107,High,"2016-08-12 16:13:02"
574,7,107,Medium,"2016-08-12 16:13:02"
575,8,107,No,"2016-08-12 16:13:02"
576,9,107,,"2016-08-12 16:13:02"
577,1,108,Male,"2016-08-12 16:17:09"
578,2,108,"25 to 34","2016-08-12 16:17:09"
579,3,108,"Some college but no degree","2016-08-12 16:17:09"
580,4,108,,"2016-08-12 16:17:09"
581,5,108,"Yes; for more than five years","2016-08-12 16:17:09"
582,6,108,Medium,"2016-08-12 16:17:09"
583,7,108,Medium,"2016-08-12 16:17:09"
584,8,108,No,"2016-08-12 16:17:09"
585,9,108,,"2016-08-12 16:17:09"
586,1,109,Male,"2016-08-12 16:18:22"
587,2,109,"18 to 24","2016-08-12 16:18:22"
588,3,109,"Some college but no degree","2016-08-12 16:18:22"
589,4,109,"Computer science","2016-08-12 16:18:22"
590,5,109,"Yes; for one to five years","2016-08-12 16:18:22"
591,6,109,"Very high","2016-08-12 16:18:22"
592,7,109,High,"2016-08-12 16:18:22"
593,8,109,No,"2016-08-12 16:18:22"
594,9,109,,"2016-08-12 16:18:22"
595,1,110,Male,"2016-08-12 16:27:10"
596,2,110,"25 to 34","2016-08-12 16:27:10"
597,3,110,"Bachelor degree","2016-08-12 16:27:10"
598,4,110,"Computer Science","2016-08-12 16:27:10"
599,5,110,"Yes; for more than five years","2016-08-12 16:27:10"
600,6,110,"Very high","2016-08-12 16:27:10"
601,7,110,High,"2016-08-12 16:27:10"
602,8,110,No,"2016-08-12 16:27:10"
603,9,110,,"2016-08-12 16:27:10"
613,1,112,Female,"2016-08-12 16:57:40"
614,2,112,"18 to 24","2016-08-12 16:57:40"
615,3,112,"Some college but no degree","2016-08-12 16:57:40"
616,4,112,Psychology,"2016-08-12 16:57:40"
617,5,112,No,"2016-08-12 16:57:40"
618,6,112,Low,"2016-08-12 16:57:40"
619,7,112,High,"2016-08-12 16:57:40"
620,8,112,No,"2016-08-12 16:57:40"
621,9,112,,"2016-08-12 16:57:40"
631,1,117,Male,"2016-08-12 17:09:37"
632,2,117,"45 to 54","2016-08-12 17:09:37"
633,3,117,"Bachelor degree","2016-08-12 17:09:37"
634,4,117,"Industrial Engineering ","2016-08-12 17:09:37"
635,5,117,"Yes; for more than five years","2016-08-12 17:09:37"
636,6,117,"Very high","2016-08-12 17:09:37"
637,7,117,High,"2016-08-12 17:09:37"
638,8,117,Yes,"2016-08-12 17:09:37"
639,9,117,,"2016-08-12 17:09:37"
667,1,121,Male,"2016-08-12 17:34:06"
668,2,121,"25 to 34","2016-08-12 17:34:06"
669,3,121,"Bachelor degree","2016-08-12 17:34:06"
670,4,121,Economics,"2016-08-12 17:34:06"
671,5,121,No,"2016-08-12 17:34:06"
672,6,121,Medium,"2016-08-12 17:34:06"
673,7,121,Medium,"2016-08-12 17:34:06"
674,8,121,No,"2016-08-12 17:34:06"
675,9,121,,"2016-08-12 17:34:06"
676,1,122,Male,"2016-08-12 17:47:18"
677,2,122,"18 to 24","2016-08-12 17:47:18"
678,3,122,"Some college but no degree","2016-08-12 17:47:18"
679,4,122,"Information Technology","2016-08-12 17:47:18"
680,5,122,No,"2016-08-12 17:47:18"
681,6,122,High,"2016-08-12 17:47:18"
682,7,122,High,"2016-08-12 17:47:18"
683,8,122,No,"2016-08-12 17:47:18"
684,9,122,,"2016-08-12 17:47:18"
712,1,123,Male,"2016-08-12 19:21:45"
713,2,123,"25 to 34","2016-08-12 19:21:45"
714,3,123,"Some college but no degree","2016-08-12 19:21:45"
715,4,123,"Computer Science, Philosophy","2016-08-12 19:21:45"
716,5,123,No,"2016-08-12 19:21:45"
717,6,123,Medium,"2016-08-12 19:21:45"
718,7,123,Low,"2016-08-12 19:21:45"
719,8,123,No,"2016-08-12 19:21:45"
720,9,123,,"2016-08-12 19:21:45"
694,1,125,Male,"2016-08-12 18:36:37"
695,2,125,"25 to 34","2016-08-12 18:36:37"
696,3,125,"Bachelor degree","2016-08-12 18:36:37"
697,4,125,"computer science ","2016-08-12 18:36:37"
698,5,125,"Yes; for less than a year","2016-08-12 18:36:37"
699,6,125,High,"2016-08-12 18:36:37"
700,7,125,Medium,"2016-08-12 18:36:37"
701,8,125,No,"2016-08-12 18:36:37"
702,9,125,,"2016-08-12 18:36:37"
739,1,130,Male,"2016-08-12 22:03:11"
740,2,130,"25 to 34","2016-08-12 22:03:11"
741,3,130,"Graduate degree","2016-08-12 22:03:11"
742,4,130,"Business administration","2016-08-12 22:03:11"
743,5,130,No,"2016-08-12 22:03:11"
744,6,130,Medium,"2016-08-12 22:03:11"
745,7,130,Medium,"2016-08-12 22:03:11"
746,8,130,No,"2016-08-12 22:03:11"
747,9,130,,"2016-08-12 22:03:11"
730,1,131,Male,"2016-08-12 22:02:18"
731,2,131,"25 to 34","2016-08-12 22:02:18"
732,3,131,"Some college but no degree","2016-08-12 22:02:18"
733,4,131,"Computer Science","2016-08-12 22:02:18"
734,5,131,No,"2016-08-12 22:02:18"
735,6,131,Medium,"2016-08-12 22:02:18"
736,7,131,Low,"2016-08-12 22:02:18"
737,8,131,No,"2016-08-12 22:02:18"
738,9,131,,"2016-08-12 22:02:18"
757,1,133,Male,"2016-08-12 23:03:23"
758,2,133,"35 to 45","2016-08-12 23:03:23"
759,3,133,"Some college but no degree","2016-08-12 23:03:23"
760,4,133,Nursing,"2016-08-12 23:03:23"
761,5,133,No,"2016-08-12 23:03:23"
762,6,133,Medium,"2016-08-12 23:03:23"
763,7,133,Medium,"2016-08-12 23:03:23"
764,8,133,No,"2016-08-12 23:03:23"
765,9,133,,"2016-08-12 23:03:23"
766,1,134,Male,"2016-08-12 23:20:48"
767,2,134,"18 to 24","2016-08-12 23:20:48"
768,3,134,"Some college but no degree","2016-08-12 23:20:48"
769,4,134,"Graphic Design","2016-08-12 23:20:48"
770,5,134,No,"2016-08-12 23:20:48"
771,6,134,Medium,"2016-08-12 23:20:48"
772,7,134,Low,"2016-08-12 23:20:48"
773,8,134,No,"2016-08-12 23:20:48"
774,9,134,,"2016-08-12 23:20:48"
802,1,139,Male,"2016-08-13 00:27:44"
803,2,139,"25 to 34","2016-08-13 00:27:44"
804,3,139,"Bachelor degree","2016-08-13 00:27:44"
805,4,139,"information technology","2016-08-13 00:27:44"
806,5,139,"Yes; for more than five years","2016-08-13 00:27:44"
807,6,139,High,"2016-08-13 00:27:44"
808,7,139,High,"2016-08-13 00:27:44"
809,8,139,No,"2016-08-13 00:27:44"
810,9,139,,"2016-08-13 00:27:44"
793,1,140,Female,"2016-08-13 00:26:24"
794,2,140,"25 to 34","2016-08-13 00:26:24"
795,3,140,"Some college but no degree","2016-08-13 00:26:24"
796,4,140,Business,"2016-08-13 00:26:24"
797,5,140,No,"2016-08-13 00:26:24"
798,6,140,Low,"2016-08-13 00:26:24"
799,7,140,Low,"2016-08-13 00:26:24"
800,8,140,No,"2016-08-13 00:26:24"
801,9,140,,"2016-08-13 00:26:24"
820,1,142,Male,"2016-08-13 00:57:33"
821,2,142,"25 to 34","2016-08-13 00:57:33"
822,3,142,"Some college but no degree","2016-08-13 00:57:33"
823,4,142,"biomedical sciences","2016-08-13 00:57:33"
824,5,142,"Yes; for one to five years","2016-08-13 00:57:33"
825,6,142,"Very high","2016-08-13 00:57:33"
826,7,142,"Very high","2016-08-13 00:57:33"
827,8,142,Yes,"2016-08-13 00:57:33"
828,9,142,,"2016-08-13 00:57:33"
829,1,143,Male,"2016-08-13 01:35:41"
830,2,143,"45 to 54","2016-08-13 01:35:41"
831,3,143,"Some college but no degree","2016-08-13 01:35:41"
832,4,143,"music business mgmt","2016-08-13 01:35:41"
833,5,143,No,"2016-08-13 01:35:41"
834,6,143,High,"2016-08-13 01:35:41"
835,7,143,High,"2016-08-13 01:35:41"
836,8,143,No,"2016-08-13 01:35:41"
837,9,143,,"2016-08-13 01:35:41"
838,1,144,Male,"2016-08-13 02:12:31"
839,2,144,"18 to 24","2016-08-13 02:12:31"
840,3,144,"Bachelor degree","2016-08-13 02:12:31"
841,4,144,"Computer Science","2016-08-13 02:12:31"
842,5,144,"Yes; for more than five years","2016-08-13 02:12:31"
843,6,144,Low,"2016-08-13 02:12:31"
844,7,144,Medium,"2016-08-13 02:12:31"
845,8,144,Yes,"2016-08-13 02:12:31"
846,9,144,,"2016-08-13 02:12:31"
847,1,145,Male,"2016-08-13 02:25:14"
848,2,145,"25 to 34","2016-08-13 02:25:14"
849,3,145,"Graduate degree","2016-08-13 02:25:14"
850,4,145,"Accounting with IT","2016-08-13 02:25:14"
851,5,145,"Yes; for one to five years","2016-08-13 02:25:14"
852,6,145,Medium,"2016-08-13 02:25:14"
853,7,145,High,"2016-08-13 02:25:14"
854,8,145,Yes,"2016-08-13 02:25:14"
855,9,145,,"2016-08-13 02:25:14"
874,1,148,Male,"2016-08-13 12:39:59"
875,2,148,"25 to 34","2016-08-13 12:39:59"
876,3,148,"Graduate degree","2016-08-13 12:39:59"
877,4,148,"Computer Science","2016-08-13 12:39:59"
878,5,148,"Yes; for more than five years","2016-08-13 12:39:59"
879,6,148,"Very high","2016-08-13 12:39:59"
880,7,148,High,"2016-08-13 12:39:59"
881,8,148,No,"2016-08-13 12:39:59"
882,9,148,N/A,"2016-08-13 12:39:59"
892,1,150,Male,"2016-08-13 13:40:40"
893,2,150,"25 to 34","2016-08-13 13:40:40"
894,3,150,"Bachelor degree","2016-08-13 13:40:40"
895,4,150,"mathematicians ","2016-08-13 13:40:40"
896,5,150,"Yes; for one to five years","2016-08-13 13:40:40"
897,6,150,Medium,"2016-08-13 13:40:40"
898,7,150,High,"2016-08-13 13:40:40"
899,8,150,Yes,"2016-08-13 13:40:40"
900,9,150,"good ","2016-08-13 13:40:40"
937,1,152,Male,"2016-08-13 15:49:42"
938,2,152,"25 to 34","2016-08-13 15:49:42"
939,3,152,"Graduate degree","2016-08-13 15:49:42"
940,4,152,"Mechanical Engineering","2016-08-13 15:49:42"
941,5,152,"Yes; for one to five years","2016-08-13 15:49:42"
942,6,152,Medium,"2016-08-13 15:49:42"
